Sweep	Chromsome	Start	End	Length(bp)	piCER*10-3	piPIM*10-3	piPIM/piCER
DS029	ch03	6910000	7040000	130000	1.03865042805	3.22013943475	3.1003110842553703
DS030	ch03	7730000	7920000	190000	1.2836813381	4.3163333668	3.3624648413045275
DS031	ch03	8190000	8530000	340000	1.3625256961874999	4.385940539312499	3.2189782193354985
DS032	ch03	10340000	10680000	340000	0.8671431512749997	2.9158531534166667	3.362597224148465
DS033	ch03	46150000	46370000	220000	0.9645754561400001	2.9615293153999995	3.07029304607369
DS034	ch03	47360000	47940000	580000	1.1645939828736842	3.9549493082368414	3.395989818252229
DS035	ch03	48710000	48930000	220000	1.5970434158461537	6.216206426153846	3.892321501391585
DS036	ch03	49300000	49470000	170000	1.8633517868571432	5.787641580428572	3.1060380660542926
DS037	ch03	49630000	50700000	1070000	1.0542097468652176	3.6816128632898555	3.4922963615518112
DS038	ch03	50850000	51240000	390000	1.3006689830714286	4.223675031071429	3.247309719877804
DS039	ch03	51410000	51510000	100000	1.102783247	3.3338293169999997	3.023104790600795
DS040	ch03	52040000	52430000	390000	1.2799614909200003	4.613137279766667	3.604121930614392
DS041	ch03	52700000	52880000	180000	1.058737056011111	3.519458474111111	3.324204488856746
DS042	ch03	53100000	53300000	200000	1.2122587200000001	3.8641305031	3.1875460570826
DS043	ch03	53760000	53860000	100000	1.0104342080000002	3.095079499	3.063118285678626
DS044	ch03	63460000	63810000	350000	0.9722965911153845	3.25311888523077	3.3458092057063644
DS045	ch03	63940000	64630000	690000	0.7822094025571429	2.5957912904571425	3.3185375705932043
DS046	ch04	50000	470000	420000	0.9104273589428571	3.070020152047619	3.372064912034688
DS047	ch04	580000	700000	120000	1.0335144083	3.2342840510000004	3.129403929955836
DS048	ch04	860000	960000	100000	1.299388271	3.9371179130000002	3.029978029561574
DS049	ch04	1200000	1320000	120000	1.1275682576666668	3.472846353	3.079943346566472
DS050	ch04	1450000	2270000	820000	1.1050163168312503	3.7218591238333336	3.3681485668068265
DS051	ch04	23300000	23430000	130000	1.3251210517499998	4.1628212925	3.141464915225999
DS052	ch04	61900000	62090000	190000	0.9108198793666668	2.8622457675	3.1424937381584663
DS053	ch04	62490000	62630000	140000	0.8673424089999998	2.7138735138	3.1289528629517296
DS054	ch04	62830000	62950000	120000	1.0766548946666668	3.3375096696666664	3.0998880757421925
DS055	ch05	0	3240000	3240000	0.8938831364897728	3.335409484356058	3.7313708562105976
DS056	ch05	3540000	3880000	340000	0.9057276943999998	2.9687238142799997	3.2777222476857504
DS057	ch05	4070000	4520000	450000	1.0352836084933332	3.2806449474666666	3.1688369453091676
DS058	ch05	7040000	7170000	130000	1.153294712	3.5382042945	3.0679099259582836
DS059	ch05	7360000	7980000	620000	1.4710076452592593	4.693279733111111	3.1905202860342294
DS060	ch05	11800000	11930000	130000	1.9059244555000001	5.95324792325	3.123548735664985
DS061	ch05	17020000	17140000	120000	2.602586959333333	8.216099171	3.156897079475338
DS062	ch05	17620000	17790000	170000	1.520167221375	5.07204731125	3.336506168487375
DS063	ch05	32410000	32540000	130000	2.46983424725	7.7029493890000005	3.1188122836893744
DS064	ch05	38190000	38610000	420000	1.9638762754545456	7.430572025121212	3.7836253322024485
DS065	ch05	61070000	61210000	140000	1.2594889268	3.9775881583999997	3.158096965970086
DS066	ch05	62650000	63250000	600000	1.0085219417509803	3.3479549669019595	3.319664975349264
DS067	ch05	63450000	63680000	230000	1.1936586041428572	3.7589726471428575	3.149118712918843
DS068	ch05	64260000	64370000	110000	1.3195179755000002	4.017870255	3.0449530280006405
DS069	ch05	64610000	64870000	260000	0.87505605452	2.6535123508	3.0323912817854253
DS070	ch06	3100000	3210000	110000	1.4171898525	4.2981604265	3.032875531050276
DS071	ch06	5170000	5270000	100000	0.7829854519	2.4313108679999997	3.105180130869811
DS072	ch06	8600000	8780000	180000	0.8886759695555555	3.0611619161111108	3.4446322630306505
DS073	ch06	14830000	14960000	130000	1.06764046955	3.2561537139999994	3.049859767279557
DS074	ch06	17060000	17170000	110000	0.9940930148000001	3.0354320825000003	3.0534688779708343
DS075	ch06	24150000	24270000	120000	1.8029188600000001	5.639055170333333	3.1277365251663807
DS076	ch06	24880000	25160000	280000	1.2043730678421054	3.7945918349473686	3.1506780882656233
DS077	ch06	27980000	28450000	470000	1.0913080068206897	3.8214672949999997	3.5017311988144297
DS078	ch06	29980000	30090000	110000	0.9107352836	2.791539012	3.065148635688589
DS079	ch06	30970000	31470000	500000	1.6029199898148148	5.152424978259259	3.2143993530547452
DS080	ch06	31950000	32050000	100000	0.9191918391	2.7794593450000002	3.0238076827590494
DS081	ch06	32760000	33470000	710000	0.9509594679162162	3.0608462245675674	3.2186926234349684
DS082	ch06	33730000	33950000	220000	1.0607587816916664	3.4844341261666667	3.2848506053466697
DS083	ch06	34130000	34330000	200000	0.964744599581818	3.238793837454545	3.357151559965659
DS084	ch06	38610000	38800000	190000	1.1540693982	3.9075285343	3.385869636951266
DS085	ch06	39240000	39420000	180000	1.1531572035666666	3.700102887	3.2086717019637367
DS086	ch06	39810000	39950000	140000	0.98260869838	3.0364778251999995	3.090220786978741
DS087	ch06	40290000	41120000	830000	0.7594593948418921	2.951567138067568	3.886405459085853
DS088	ch06	41240000	41340000	100000	0.9540821563999999	2.971447132	3.114456246841512
DS089	ch06	41880000	42050000	170000	0.7611668707857143	2.3921616151428577	3.1427558226142307
DS090	ch06	42490000	43800000	1310000	0.8831401246749998	3.0891305451547635	3.49789400214556
DS091	ch06	43980000	44120000	140000	1.0774923645999999	3.4348455208	3.1878142561828042
DS092	ch06	45430000	45640000	210000	0.7887884960583333	2.470689825916667	3.132258949341918
DS093	ch07	90000	300000	210000	0.8924043133166667	2.86078589275	3.2057060348775566
DS094	ch07	550000	1550000	1000000	1.1945421247386665	4.123629956426666	3.452059053445943
DS095	ch07	2540000	3160000	620000	1.1009081154310345	3.499154294965518	3.178425379846989
DS096	ch07	3480000	3630000	150000	1.00945289604	3.076468664	3.0476594559971364
DS097	ch07	4590000	4920000	330000	0.8915251213291666	2.9341043663749997	3.2911067744233278
DS098	ch07	5870000	6030000	160000	1.9032694215	5.868391209166666	3.083321332689559
DS099	ch07	9730000	9910000	180000	1.0560022754624998	3.24797677225	3.0757289522198006
DS100	ch07	11020000	11180000	160000	1.8469622315714287	5.695600394285714	3.083766574609268
DS101	ch07	11500000	11680000	180000	1.6956501121111114	5.410062055777778	3.1905532970137127
DS102	ch07	12200000	12470000	270000	1.0931004643555557	4.273615772333334	3.909627624989503
DS103	ch07	12840000	13080000	240000	1.5827918217333332	6.459688798466667	4.081199251707397
DS104	ch07	14770000	14910000	140000	2.60605122875	7.91787781675	3.038266373814851
DS105	ch07	15390000	15550000	160000	1.8288699665714285	5.692233684285714	3.1124321511807156
DS106	ch07	17010000	17320000	310000	1.1118004332136362	4.486683381409091	4.035511452752744
DS107	ch07	17980000	18140000	160000	1.0987744795428571	3.693665919	3.3616233246851004
DS108	ch07	19260000	19490000	230000	1.0278224547857147	4.531940821642857	4.409264265964785
DS109	ch07	19780000	20020000	240000	0.8810583005066668	2.8098528806666665	3.189179284788323
DS110	ch07	20920000	21190000	270000	1.3648619589333333	6.573361768	4.816136697909884
DS111	ch07	21810000	22010000	200000	1.840448994909091	6.522197758818181	3.5438079386385524
DS112	ch07	25010000	25140000	130000	2.59455892375	7.912597325499999	3.049688813412519
DS113	ch07	26650000	26860000	210000	0.7459005145083334	2.9949439375	4.015205619578024
DS114	ch07	27350000	27450000	100000	0.9473212189	2.934729451	3.0979243285690536
DS115	ch07	28200000	28560000	360000	1.8092135031666667	6.065157159777777	3.352372259637644
DS116	ch07	29310000	29430000	120000	1.117898511	3.440343439	3.077509635398378
DS117	ch07	29700000	29940000	240000	1.3560357648866668	5.5221009567333335	4.07223843184907
DS118	ch07	30320000	31030000	710000	1.5316940634761906	5.992415433309525	3.912279596951428
DS119	ch07	33640000	33950000	310000	1.4726287016470587	4.893867624529411	3.323218961477441
DS120	ch07	37620000	38010000	390000	2.2967305417058825	7.228051945294117	3.147104901529078
DS121	ch07	38310000	39030000	720000	2.5045261076666665	8.549382885031743	3.4135730743077572
DS122	ch07	39220000	39680000	460000	2.7141782673571426	9.126434600500001	3.3625037493895413
DS123	ch07	40310000	40500000	190000	1.4274231231999999	4.566023096	3.198787396524641
DS124	ch07	40790000	41160000	370000	1.5918998856428568	7.228629334821428	4.54088187329839
DS125	ch07	45730000	45910000	180000	2.180382319888889	7.020230374111112	3.21972449972391
DS126	ch07	49700000	51120000	1420000	1.734355572968503	5.653465332661415	3.2596921996710333
DS127	ch07	51890000	52070000	180000	1.130499102875	3.5400012455	3.131361392943467
DS128	ch07	53130000	53600000	470000	1.6518810638461536	5.097183649307692	3.085684412072426
DS129	ch07	53800000	54220000	420000	0.9617511686696968	3.280772533363636	3.4112488138710884
DS130	ch07	54410000	54750000	340000	1.4301130674499998	4.472481567818182	3.1273622132500027
DS131	ch07	55380000	55780000	400000	0.8960933045166667	2.787311772722222	3.1105151201030763
DS132	ch07	56610000	56870000	260000	1.3669546204117646	4.400252681235295	3.2190188434417935
DS133	ch07	57700000	57800000	100000	1.318645309	3.9980374590000003	3.031927866965172
DS134	ch08	50000	700000	650000	1.1400074727272727	3.6371692568181815	3.1904784344236594
DS135	ch08	1360000	1460000	100000	1.776402653	5.457075158	3.071980977276777
DS136	ch08	1790000	2580000	790000	1.1104473479	3.7013376402549016	3.333195083273971
DS137	ch08	4340000	4460000	120000	0.8455305013666667	2.5870947736666667	3.059729683890807
DS138	ch08	42020000	42190000	170000	4.313222360875	13.329409185	3.0903598446280744
DS139	ch08	53590000	53710000	120000	1.1272455905	3.4539443160000003	3.0640566218298284
DS140	ch08	53920000	54070000	150000	1.0295278803666668	3.179006490333333	3.087829432264747
DS141	ch08	54350000	54530000	180000	1.1629762801222223	3.694648336	3.176890534355278
DS142	ch08	54810000	54950000	140000	0.9758694431599999	3.235286286	3.3152859828500176
DS143	ch08	55370000	55490000	120000	1.143766252	3.4705542515000003	3.0343212570150215
DS144	ch08	56790000	57030000	240000	1.0579730620066665	4.155693902666666	3.927977045828111
DS145	ch08	57330000	57840000	510000	0.9301215583791667	3.1126211486249997	3.3464670510906824
DS146	ch08	58230000	59370000	1140000	0.9562993284130433	3.3603487686521736	3.5139089496471723
DS147	ch08	61860000	61970000	110000	1.1359939175	3.5806528055	3.1519999802287675
DS148	ch09	1050000	1220000	170000	1.3904874298749998	4.566302765375	3.283958320849758
DS149	ch09	3340000	3500000	160000	1.0945383233857144	3.4207513680000003	3.1252915452230634
DS150	ch09	59460000	59560000	100000	0.7308929591000001	2.2760562049999997	3.1140759760535497
DS151	ch09	60460000	61020000	560000	1.0318244861583334	3.5505991858888897	3.441088318332514
DS152	ch09	62410000	62570000	160000	1.2428903964999998	3.869953072	3.113672036486767
DS153	ch09	63880000	64130000	250000	1.0900632813733333	3.596104665333333	3.2989870650470166
DS154	ch09	64330000	64670000	340000	1.0002332448478262	3.2576207898695655	3.2568611437876918
DS155	ch09	66040000	66280000	240000	1.0035410657266666	3.4055486348000006	3.393531915242586
DS156	ch09	67220000	67330000	110000	1.3823364455	4.225232521500001	3.056587660156574
DS157	ch10	3240000	3340000	100000	1.121015779	3.432364636	3.061834365134302
DS158	ch10	45290000	45420000	130000	1.27156712175	4.03600131425	3.174037174455592
DS159	ch10	48270000	48410000	140000	1.9274102194	6.009509070599999	3.117919065755888
DS160	ch10	58410000	58560000	150000	0.9399744391166667	2.9603159593333332	3.1493579358554324
DS161	ch10	59860000	60760000	900000	0.9904909120975307	3.491567764641974	3.5250881376064256
DS162	ch10	60920000	61520000	600000	0.9976864811756097	3.3061681926341477	3.313834811852288
DS163	ch10	61900000	62660000	760000	1.0264141526499997	3.581501978456522	3.4893341729649645
DS164	ch10	63210000	63590000	380000	0.9988284897241378	3.4170331479310354	3.421040932537648
DS165	ch10	63910000	64640000	730000	0.9437631024510204	3.536411947326531	3.7471394443607897
DS166	ch11	230000	340000	110000	1.01659416625	3.1713823179999996	3.1196149095548673
DS167	ch11	1240000	1360000	120000	1.182656062	3.602295624	3.0459368025460645
DS168	ch11	1620000	1840000	220000	1.0798141197000002	3.4232140425	3.170188257448473
DS169	ch11	4730000	5040000	310000	1.1461105726777778	3.6067585155555557	3.1469551032311913
DS170	ch11	19850000	20050000	200000	1.8632113739090908	6.216460342272728	3.3364224957635105
DS171	ch11	46450000	46580000	130000	0.89785724145	2.8205283207500003	3.1413995349583312
DS172	ch11	47180000	47340000	160000	0.89624157895	2.749490777	3.0678009607869248
DS173	ch11	49350000	49450000	100000	1.074179192	3.248273166	3.0239583769557883
DS174	ch12	60000	350000	290000	1.021628140215	3.4919052774	3.417980711323333
DS175	ch12	770000	3260000	2490000	1.0458238286387258	3.712180416529412	3.5495274776453427
DS176	ch12	3380000	3490000	110000	0.79602027025	2.4474422745	3.074597929185083
DS177	ch12	3710000	3900000	190000	1.1670919712000003	3.7480484971000005	3.2114422766924435
DS178	ch12	4080000	5140000	1060000	0.855678320301449	2.9414469719999987	3.437561642281353
DS179	ch12	43800000	43900000	100000	1.2543347710000001	3.973579475	3.1678779595913795
DS180	ch12	44320000	44590000	270000	0.9318935165777777	3.1678895919444443	3.3994115589278766
DS181	ch12	45270000	45600000	330000	1.2603013605416666	4.685944374875	3.7181141920381813
DS182	ch12	48020000	48120000	100000	0.6366642	2.053450489	3.225327400221341
DS183	ch12	63310000	63450000	140000	1.00884253248	3.321083299	3.2919739127531673
DS184	ch12	63650000	64470000	820000	1.0417945549234044	3.7803225236170195	3.6286641216846824
DS185	ch12	64580000	64840000	260000	1.0425836588000001	3.192353444333333	3.061963821692438
DS186	ch12	65220000	65370000	150000	0.8981799984000001	2.778143182333334	3.093080660092924
