SNP	CHR	BP	P
SL2.40ch01_1470000_1570000	1	1470000	8.962148e-03
SL2.40ch01_1480000_1580000	1	1480000	8.953043e-03
SL2.40ch01_1490000_1590000	1	1490000	8.605219e-03
SL2.40ch01_1500000_1600000	1	1500000	8.968415e-03
SL2.40ch01_1510000_1610000	1	1510000	9.042567e-03
SL2.40ch01_1520000_1620000	1	1520000	1.032718e-02
SL2.40ch01_1530000_1630000	1	1530000	1.138993e-02
SL2.40ch01_1540000_1640000	1	1540000	1.150935e-02
SL2.40ch01_1550000_1650000	1	1550000	1.122286e-02
SL2.40ch01_1560000_1660000	1	1560000	4.810888e-03
SL2.40ch01_1570000_1670000	1	1570000	4.602983e-03
SL2.40ch01_1580000_1680000	1	1580000	4.241518e-03
SL2.40ch01_1590000_1690000	1	1590000	4.263048e-03
SL2.40ch01_1600000_1700000	1	1600000	4.275006e-03
SL2.40ch01_1610000_1710000	1	1610000	5.907527e-03
SL2.40ch01_1620000_1720000	1	1620000	5.463929e-03
SL2.40ch01_1630000_1730000	1	1630000	4.394105e-03
SL2.40ch01_1640000_1740000	1	1640000	5.057253e-03
SL2.40ch01_1650000_1750000	1	1650000	4.940385e-03
SL2.40ch01_1660000_1760000	1	1660000	4.957431e-03
SL2.40ch01_1670000_1770000	1	1670000	5.393484e-03
SL2.40ch01_1680000_1780000	1	1680000	4.916549e-03
SL2.40ch01_1690000_1790000	1	1690000	5.058082e-03
SL2.40ch01_1700000_1800000	1	1700000	5.206201e-03
SL2.40ch01_1710000_1810000	1	1710000	3.459630e-03
SL2.40ch01_1720000_1820000	1	1720000	3.497385e-03
SL2.40ch01_1730000_1830000	1	1730000	3.688852e-03
SL2.40ch01_1740000_1840000	1	1740000	2.082058e-02
SL2.40ch01_1750000_1850000	1	1750000	2.308789e-02
SL2.40ch01_1760000_1860000	1	1760000	2.720643e-02
SL2.40ch01_1770000_1870000	1	1770000	3.174096e-02
SL2.40ch01_1780000_1880000	1	1780000	4.678371e-02
SL2.40ch01_1790000_1890000	1	1790000	5.017384e-02
SL2.40ch01_1800000_1900000	1	1800000	5.325505e-02
SL2.40ch01_1810000_1910000	1	1810000	4.907334e-02
SL2.40ch01_1820000_1920000	1	1820000	8.094495e-02
SL2.40ch01_1830000_1930000	1	1830000	7.098268e-02
SL2.40ch01_1840000_1940000	1	1840000	2.920749e-02
SL2.40ch01_1850000_1950000	1	1850000	2.106861e-02
SL2.40ch01_1860000_1960000	1	1860000	2.070850e-02
SL2.40ch01_1870000_1970000	1	1870000	2.002434e-02
SL2.40ch01_1880000_1980000	1	1880000	1.986021e-02
SL2.40ch01_1890000_1990000	1	1890000	1.938356e-02
SL2.40ch01_1900000_2000000	1	1900000	1.840172e-02
SL2.40ch01_1910000_2010000	1	1910000	2.636469e-02
SL2.40ch01_1920000_2020000	1	1920000	1.315118e-02
SL2.40ch01_1930000_2030000	1	1930000	1.377408e-02
SL2.40ch01_1940000_2040000	1	1940000	1.517522e-02
SL2.40ch01_1950000_2050000	1	1950000	1.471775e-02
SL2.40ch01_1960000_2060000	1	1960000	1.310794e-02
SL2.40ch01_1970000_2070000	1	1970000	1.222956e-02
SL2.40ch01_1980000_2080000	1	1980000	1.318878e-02
SL2.40ch01_1990000_2090000	1	1990000	1.265875e-02
SL2.40ch01_2000000_2100000	1	2000000	1.135520e-02
SL2.40ch01_2010000_2110000	1	2010000	5.675333e-03
SL2.40ch01_2020000_2120000	1	2020000	5.016223e-03
SL2.40ch01_2030000_2130000	1	2030000	4.531188e-03
SL2.40ch01_2040000_2140000	1	2040000	4.226363e-03
SL2.40ch01_2050000_2150000	1	2050000	4.653926e-03
SL2.40ch01_2060000_2160000	1	2060000	4.577588e-03
SL2.40ch01_2070000_2170000	1	2070000	6.256375e-03
SL2.40ch01_2080000_2180000	1	2080000	7.542372e-03
SL2.40ch01_2090000_2190000	1	2090000	7.578788e-03
SL2.40ch01_2100000_2200000	1	2100000	7.692228e-03
SL2.40ch01_2110000_2210000	1	2110000	6.307441e-03
SL2.40ch01_2120000_2220000	1	2120000	7.880215e-03
SL2.40ch01_2130000_2230000	1	2130000	7.956129e-03
SL2.40ch01_2140000_2240000	1	2140000	8.497659e-03
SL2.40ch01_2150000_2250000	1	2150000	9.289419e-03
SL2.40ch01_2160000_2260000	1	2160000	9.984204e-03
SL2.40ch01_2170000_2270000	1	2170000	8.568344e-03
SL2.40ch01_2180000_2280000	1	2180000	7.052629e-03
SL2.40ch01_2190000_2290000	1	2190000	6.353239e-03
SL2.40ch01_2200000_2300000	1	2200000	6.445509e-03
SL2.40ch01_2210000_2310000	1	2210000	8.289551e-03
SL2.40ch01_2220000_2320000	1	2220000	6.541876e-03
SL2.40ch01_2230000_2330000	1	2230000	7.631188e-03
SL2.40ch01_2240000_2340000	1	2240000	7.271504e-03
SL2.40ch01_2250000_2350000	1	2250000	6.973370e-03
SL2.40ch01_2260000_2360000	1	2260000	6.843282e-03
SL2.40ch01_2270000_2370000	1	2270000	7.074091e-03
SL2.40ch01_2280000_2380000	1	2280000	6.013327e-03
SL2.40ch01_2290000_2390000	1	2290000	6.266947e-03
SL2.40ch01_2300000_2400000	1	2300000	5.986268e-03
SL2.40ch01_2310000_2410000	1	2310000	5.121799e-03
SL2.40ch01_2320000_2420000	1	2320000	5.067268e-03
SL2.40ch01_2330000_2430000	1	2330000	3.896114e-03
SL2.40ch01_2340000_2440000	1	2340000	4.164094e-03
SL2.40ch01_2350000_2450000	1	2350000	3.340770e-03
SL2.40ch01_2360000_2460000	1	2360000	4.311030e-03
SL2.40ch01_2370000_2470000	1	2370000	4.536281e-03
SL2.40ch01_2380000_2480000	1	2380000	4.653986e-03
SL2.40ch01_2390000_2490000	1	2390000	4.291731e-03
SL2.40ch01_2400000_2500000	1	2400000	5.100500e-03
SL2.40ch01_2410000_2510000	1	2410000	4.754968e-03
SL2.40ch01_2420000_2520000	1	2420000	4.651501e-03
SL2.40ch01_2430000_2530000	1	2430000	4.538590e-03
SL2.40ch01_2440000_2540000	1	2440000	4.399907e-03
SL2.40ch01_2450000_2550000	1	2450000	4.313027e-03
SL2.40ch01_2460000_2560000	1	2460000	3.787206e-03
SL2.40ch01_2470000_2570000	1	2470000	4.042405e-03
SL2.40ch01_2480000_2580000	1	2480000	5.160709e-03
SL2.40ch01_2490000_2590000	1	2490000	6.048112e-03
SL2.40ch01_2500000_2600000	1	2500000	4.105202e-03
SL2.40ch01_2510000_2610000	1	2510000	4.774897e-03
SL2.40ch01_2520000_2620000	1	2520000	6.393008e-03
SL2.40ch01_2530000_2630000	1	2530000	6.877616e-03
SL2.40ch01_2540000_2640000	1	2540000	7.017415e-03
SL2.40ch01_2550000_2650000	1	2550000	6.741194e-03
SL2.40ch01_2560000_2660000	1	2560000	8.689230e-03
SL2.40ch01_2570000_2670000	1	2570000	8.402688e-03
SL2.40ch01_2580000_2680000	1	2580000	7.960865e-03
SL2.40ch01_2590000_2690000	1	2590000	7.710028e-03
SL2.40ch01_2600000_2700000	1	2600000	9.095917e-03
SL2.40ch01_2610000_2710000	1	2610000	1.020798e-02
SL2.40ch01_2620000_2720000	1	2620000	7.879390e-03
SL2.40ch01_2630000_2730000	1	2630000	6.301810e-03
SL2.40ch01_2640000_2740000	1	2640000	5.725546e-03
SL2.40ch01_2650000_2750000	1	2650000	6.062425e-03
SL2.40ch01_2660000_2760000	1	2660000	5.715207e-03
SL2.40ch01_2670000_2770000	1	2670000	6.384793e-03
SL2.40ch01_2680000_2780000	1	2680000	5.454860e-03
SL2.40ch01_2690000_2790000	1	2690000	5.309241e-03
SL2.40ch01_2700000_2800000	1	2700000	5.198944e-03
SL2.40ch01_2710000_2810000	1	2710000	4.929493e-03
SL2.40ch01_2720000_2820000	1	2720000	5.689084e-03
SL2.40ch01_2730000_2830000	1	2730000	9.243783e-03
SL2.40ch01_2740000_2840000	1	2740000	9.978089e-03
SL2.40ch01_2750000_2850000	1	2750000	9.931952e-03
SL2.40ch01_2760000_2860000	1	2760000	8.019343e-03
SL2.40ch01_2770000_2870000	1	2770000	7.113819e-03
SL2.40ch01_2780000_2880000	1	2780000	7.686008e-03
SL2.40ch01_2790000_2890000	1	2790000	1.008674e-02
SL2.40ch01_2800000_2900000	1	2800000	1.086988e-02
SL2.40ch01_2810000_2910000	1	2810000	1.181034e-02
SL2.40ch01_2820000_2920000	1	2820000	1.205546e-02
SL2.40ch01_2830000_2930000	1	2830000	8.523206e-03
SL2.40ch01_2840000_2940000	1	2840000	7.720329e-03
SL2.40ch01_2850000_2950000	1	2850000	7.819499e-03
SL2.40ch01_2860000_2960000	1	2860000	9.165592e-03
SL2.40ch01_2870000_2970000	1	2870000	9.270831e-03
SL2.40ch01_2880000_2980000	1	2880000	8.886383e-03
SL2.40ch01_2890000_2990000	1	2890000	4.959712e-03
SL2.40ch01_2900000_3000000	1	2900000	3.431536e-03
SL2.40ch01_2910000_3010000	1	2910000	2.771500e-03
SL2.40ch01_2920000_3020000	1	2920000	2.354542e-03
SL2.40ch01_2930000_3030000	1	2930000	2.253126e-03
SL2.40ch01_2940000_3040000	1	2940000	2.208881e-03
SL2.40ch01_2950000_3050000	1	2950000	2.141197e-03
SL2.40ch01_2960000_3060000	1	2960000	1.041616e-03
SL2.40ch01_2970000_3070000	1	2970000	1.251948e-03
SL2.40ch01_2980000_3080000	1	2980000	1.217715e-03
SL2.40ch01_2990000_3090000	1	2990000	1.272410e-03
SL2.40ch01_3000000_3100000	1	3000000	1.491926e-03
SL2.40ch01_3010000_3110000	1	3010000	1.670156e-03
SL2.40ch01_3020000_3120000	1	3020000	1.651533e-03
SL2.40ch01_3030000_3130000	1	3030000	1.596229e-03
SL2.40ch01_3040000_3140000	1	3040000	1.421401e-03
SL2.40ch01_3050000_3150000	1	3050000	2.039803e-03
SL2.40ch01_3060000_3160000	1	3060000	1.945621e-03
SL2.40ch01_3070000_3170000	1	3070000	1.565818e-03
SL2.40ch01_3080000_3180000	1	3080000	1.828896e-03
SL2.40ch01_3090000_3190000	1	3090000	1.785322e-03
SL2.40ch01_3100000_3200000	1	3100000	1.542656e-03
SL2.40ch01_3110000_3210000	1	3110000	1.724547e-03
SL2.40ch01_3120000_3220000	1	3120000	1.483156e-03
SL2.40ch01_3130000_3230000	1	3130000	1.803634e-03
SL2.40ch01_3140000_3240000	1	3140000	6.374714e-03
SL2.40ch01_3150000_3250000	1	3150000	8.141680e-03
SL2.40ch01_3160000_3260000	1	3160000	8.692067e-03
SL2.40ch01_3170000_3270000	1	3170000	9.063887e-03
SL2.40ch01_3180000_3280000	1	3180000	8.116538e-03
SL2.40ch01_3190000_3290000	1	3190000	7.932765e-03
SL2.40ch01_3200000_3300000	1	3200000	7.937306e-03
SL2.40ch01_3210000_3310000	1	3210000	9.221902e-03
SL2.40ch01_3220000_3320000	1	3220000	8.916460e-03
SL2.40ch01_3230000_3330000	1	3230000	8.470368e-03
SL2.40ch01_3240000_3340000	1	3240000	4.948086e-03
SL2.40ch01_3250000_3350000	1	3250000	3.085163e-03
SL2.40ch01_3260000_3360000	1	3260000	3.980994e-03
SL2.40ch01_3270000_3370000	1	3270000	3.844843e-03
SL2.40ch01_3280000_3380000	1	3280000	4.292720e-03
SL2.40ch01_3290000_3390000	1	3290000	9.313670e-03
SL2.40ch01_3300000_3400000	1	3300000	1.007509e-02
SL2.40ch01_3310000_3410000	1	3310000	9.134752e-03
SL2.40ch01_3320000_3420000	1	3320000	9.595835e-03
SL2.40ch01_3330000_3430000	1	3330000	1.107449e-02
SL2.40ch01_3340000_3440000	1	3340000	2.944715e-02
SL2.40ch01_3350000_3450000	1	3350000	3.067930e-02
SL2.40ch01_3360000_3460000	1	3360000	2.578936e-02
SL2.40ch01_3370000_3470000	1	3370000	2.337491e-02
SL2.40ch01_3380000_3480000	1	3380000	2.812687e-02
SL2.40ch01_3390000_3490000	1	3390000	3.309746e-02
SL2.40ch01_3400000_3500000	1	3400000	2.766904e-02
SL2.40ch01_3410000_3510000	1	3410000	2.810186e-02
SL2.40ch01_3420000_3520000	1	3420000	2.835893e-02
SL2.40ch01_3430000_3530000	1	3430000	2.866552e-02
SL2.40ch01_3440000_3540000	1	3440000	2.386455e-02
SL2.40ch01_3450000_3550000	1	3450000	2.273610e-02
SL2.40ch01_3460000_3560000	1	3460000	2.453115e-02
SL2.40ch01_3470000_3570000	1	3470000	2.546000e-02
SL2.40ch01_3480000_3580000	1	3480000	2.179471e-02
SL2.40ch01_3490000_3590000	1	3490000	1.085296e-02
SL2.40ch01_3500000_3600000	1	3500000	7.804353e-03
SL2.40ch01_3510000_3610000	1	3510000	5.365188e-03
SL2.40ch01_3520000_3620000	1	3520000	4.293593e-03
SL2.40ch01_3530000_3630000	1	3530000	7.429707e-03
SL2.40ch01_3540000_3640000	1	3540000	9.361408e-03
SL2.40ch01_3550000_3650000	1	3550000	9.337146e-03
SL2.40ch01_3560000_3660000	1	3560000	1.148802e-02
SL2.40ch01_3570000_3670000	1	3570000	1.157937e-02
SL2.40ch01_3580000_3680000	1	3580000	1.268622e-02
SL2.40ch01_3590000_3690000	1	3590000	1.349241e-02
SL2.40ch01_3600000_3700000	1	3600000	1.043816e-02
SL2.40ch01_3610000_3710000	1	3610000	1.038826e-02
SL2.40ch01_3620000_3720000	1	3620000	1.131205e-02
SL2.40ch01_3630000_3730000	1	3630000	8.875879e-03
SL2.40ch01_3640000_3740000	1	3640000	6.405743e-03
SL2.40ch01_3650000_3750000	1	3650000	6.019027e-03
SL2.40ch01_3660000_3760000	1	3660000	3.478812e-03
SL2.40ch01_3670000_3770000	1	3670000	2.332490e-03
SL2.40ch01_3680000_3780000	1	3680000	1.436174e-03
SL2.40ch01_3690000_3790000	1	3690000	1.408712e-03
SL2.40ch01_3700000_3800000	1	3700000	1.601329e-03
SL2.40ch01_3710000_3810000	1	3710000	1.430837e-03
SL2.40ch01_3720000_3820000	1	3720000	9.173941e-04
SL2.40ch01_3730000_3830000	1	3730000	1.006893e-03
SL2.40ch01_3740000_3840000	1	3740000	2.256901e-03
SL2.40ch01_3750000_3850000	1	3750000	2.141405e-03
SL2.40ch01_3760000_3860000	1	3760000	2.262661e-03
SL2.40ch01_3770000_3870000	1	3770000	2.950874e-03
SL2.40ch01_3780000_3880000	1	3780000	4.079889e-03
SL2.40ch01_3790000_3890000	1	3790000	4.615121e-03
SL2.40ch01_3800000_3900000	1	3800000	5.377843e-03
SL2.40ch01_3810000_3910000	1	3810000	5.121739e-03
SL2.40ch01_3820000_3920000	1	3820000	4.739120e-03
SL2.40ch01_3830000_3930000	1	3830000	4.427083e-03
SL2.40ch01_3840000_3940000	1	3840000	1.643983e-03
SL2.40ch01_3850000_3950000	1	3850000	1.752438e-03
SL2.40ch01_3860000_3960000	1	3860000	1.883278e-03
SL2.40ch01_3870000_3970000	1	3870000	2.063291e-03
SL2.40ch01_3880000_3980000	1	3880000	1.783764e-03
SL2.40ch01_3890000_3990000	1	3890000	1.999488e-03
SL2.40ch01_3900000_4000000	1	3900000	1.253654e-03
SL2.40ch01_3910000_4010000	1	3910000	2.729661e-03
SL2.40ch01_3920000_4020000	1	3920000	2.647391e-03
SL2.40ch01_3930000_4030000	1	3930000	5.622948e-03
SL2.40ch01_3940000_4040000	1	3940000	2.047646e-02
SL2.40ch01_3950000_4050000	1	3950000	2.971725e-02
SL2.40ch01_3960000_4060000	1	3960000	2.881786e-02
SL2.40ch01_3970000_4070000	1	3970000	2.691972e-02
SL2.40ch01_3980000_4080000	1	3980000	2.815428e-02
SL2.40ch01_3990000_4090000	1	3990000	3.326205e-02
SL2.40ch01_4000000_4100000	1	4000000	3.038822e-02
SL2.40ch01_4010000_4110000	1	4010000	3.121098e-02
SL2.40ch01_4020000_4120000	1	4020000	2.913588e-02
SL2.40ch01_4030000_4130000	1	4030000	2.544622e-02
SL2.40ch01_4040000_4140000	1	4040000	1.738812e-02
SL2.40ch01_4050000_4150000	1	4050000	1.267515e-02
SL2.40ch01_4060000_4160000	1	4060000	1.112304e-02
SL2.40ch01_4070000_4170000	1	4070000	6.777790e-03
SL2.40ch01_4080000_4180000	1	4080000	4.797076e-03
SL2.40ch01_4090000_4190000	1	4090000	2.183631e-03
SL2.40ch01_4100000_4200000	1	4100000	2.175813e-03
SL2.40ch01_4110000_4210000	1	4110000	2.252646e-03
SL2.40ch01_4120000_4220000	1	4120000	2.149664e-03
SL2.40ch01_4130000_4230000	1	4130000	5.478961e-03
SL2.40ch01_4140000_4240000	1	4140000	6.400450e-03
SL2.40ch01_4150000_4250000	1	4150000	6.175725e-03
SL2.40ch01_4160000_4260000	1	4160000	6.548075e-03
SL2.40ch01_4170000_4270000	1	4170000	9.872365e-03
SL2.40ch01_4180000_4280000	1	4180000	1.313133e-02
SL2.40ch01_4190000_4290000	1	4190000	1.481012e-02
SL2.40ch01_4200000_4300000	1	4200000	1.718391e-02
SL2.40ch01_4210000_4310000	1	4210000	1.704479e-02
SL2.40ch01_4220000_4320000	1	4220000	1.686643e-02
SL2.40ch01_4230000_4330000	1	4230000	1.079678e-02
SL2.40ch01_4240000_4340000	1	4240000	8.022622e-03
SL2.40ch01_4250000_4350000	1	4250000	8.055545e-03
SL2.40ch01_4260000_4360000	1	4260000	7.261292e-03
SL2.40ch01_4270000_4370000	1	4270000	6.967627e-03
SL2.40ch01_4280000_4380000	1	4280000	4.184361e-03
SL2.40ch01_4290000_4390000	1	4290000	1.461414e-03
SL2.40ch01_4300000_4400000	1	4300000	1.380946e-03
SL2.40ch01_4310000_4410000	1	4310000	1.741687e-03
SL2.40ch01_4320000_4420000	1	4320000	3.162202e-03
SL2.40ch01_4330000_4430000	1	4330000	3.373038e-03
SL2.40ch01_4340000_4440000	1	4340000	3.963501e-03
SL2.40ch01_4350000_4450000	1	4350000	4.208742e-03
SL2.40ch01_4360000_4460000	1	4360000	5.574416e-03
SL2.40ch01_4370000_4470000	1	4370000	5.701488e-03
SL2.40ch01_4380000_4480000	1	4380000	6.520294e-03
SL2.40ch01_4390000_4490000	1	4390000	1.283248e-02
SL2.40ch01_4400000_4500000	1	4400000	1.236939e-02
SL2.40ch01_4410000_4510000	1	4410000	1.042857e-02
SL2.40ch01_4420000_4520000	1	4420000	9.993149e-03
SL2.40ch01_4430000_4530000	1	4430000	1.005270e-02
SL2.40ch01_4440000_4540000	1	4440000	9.615058e-03
SL2.40ch01_4450000_4550000	1	4450000	8.562912e-03
SL2.40ch01_4460000_4560000	1	4460000	7.627075e-03
SL2.40ch01_4470000_4570000	1	4470000	7.275968e-03
SL2.40ch01_4480000_4580000	1	4480000	7.343078e-03
SL2.40ch01_4490000_4590000	1	4490000	2.893919e-03
SL2.40ch01_4500000_4600000	1	4500000	2.259251e-03
SL2.40ch01_4510000_4610000	1	4510000	2.654592e-03
SL2.40ch01_4520000_4620000	1	4520000	2.437543e-03
SL2.40ch01_4530000_4630000	1	4530000	1.634066e-03
SL2.40ch01_4540000_4640000	1	4540000	1.388769e-03
SL2.40ch01_4550000_4650000	1	4550000	1.273889e-03
SL2.40ch01_4560000_4660000	1	4560000	1.243609e-03
SL2.40ch01_4570000_4670000	1	4570000	1.294970e-03
SL2.40ch01_4580000_4680000	1	4580000	1.100293e-03
SL2.40ch01_4590000_4690000	1	4590000	1.408254e-03
