Chromsome	Gene_ID	Start	End	Length	Eigen_Improvement_Sweep_Region	InterPro_description
ch01	Solyc01g005720.2	487207	489476	2270	EDS001	LRR receptor-like serine/threonine-protein kinase%2C RLP
ch01	Solyc01g005730.2	490648	493499	2852	EDS001	LRR receptor-like serine/threonine-protein kinase%2C RLP
ch01	Solyc01g005740.2	493944	494430	487	EDS001	Unknown Protein (AHRD V1)
ch01	Solyc01g005750.1	495070	495397	328	EDS001	Lipoxygenase (AHRD V1 ***- C0KKU8_SOLLC)%3B contains Interpro domain(s)  IPR000907  Lipoxygenase 
ch01	Solyc01g005760.2	496465	499371	2907	EDS001	LRR receptor-like serine/threonine-protein kinase%2C RLP
ch01	Solyc01g005770.2	499989	500324	336	EDS001	Unknown Protein (AHRD V1)
ch01	Solyc01g005780.1	501810	504116	2307	EDS001	LRR receptor-like serine/threonine-protein kinase%2C RLP
ch01	Solyc01g005790.1	505584	506960	1377	EDS001	Pentatricopeptide repeat-containing protein (AHRD V1 ***- D7KKP4_ARALY)%3B contains Interpro domain(s)  IPR002885  Pentatricopeptide repeat 
ch01	Solyc01g005800.2	512638	515352	2715	EDS001	Calmodulin binding protein (AHRD V1 *--* B6U0B7_MAIZE)
ch01	Solyc01g005810.2	530323	534729	4407	EDS001	Mak16 protein (AHRD V1 *-*- Q2HUC0_MEDTR)%3B contains Interpro domain(s)  IPR006958  Mak16 protein 
ch01	Solyc01g005820.2	537499	541732	4234	EDS001	Splicing factor arginine/serine-rich 4 (AHRD V1 *--- B6U7F9_MAIZE)%3B contains Interpro domain(s)  IPR012677  Nucleotide-binding%2C alpha-beta plait 
ch01	Solyc01g005830.2	565443	571095	5653	EDS001	Glucan endo-1 3-beta-glucosidase 4 (AHRD V1 *-*- B6TL03_MAIZE)%3B contains Interpro domain(s)  IPR012946  X8 
ch01	Solyc01g005840.2	571846	574849	3004	EDS001	Ubiquitin-conjugating enzyme E2 E3 (AHRD V1 **** B6T544_MAIZE)%3B contains Interpro domain(s)  IPR000608  Ubiquitin-conjugating enzyme%2C E2 
ch01	Solyc01g005850.1	575510	576400	891	EDS001	Extensin-like protein Dif54 (AHRD V1 *-*- Q43505_SOLLC)
ch01	Solyc01g005860.2	577544	580458	2915	EDS001	Unknown Protein (AHRD V1)
ch01	Solyc01g005870.1	582018	584457	2440	EDS001	LRR receptor-like serine/threonine-protein kinase%2C RLP
ch01	Solyc01g005880.1	585801	586844	1044	EDS001	Extensin-like protein Dif10 (Fragment) (AHRD V1 *-*- Q43504_SOLLC)
ch01	Solyc01g005890.1	588414	589330	917	EDS001	Unknown Protein (AHRD V1)
ch01	Solyc01g005900.2	590446	594307	3862	EDS001	Transferase family protein (AHRD V1 **-- D7KCY6_ARALY)%3B contains Interpro domain(s)  IPR002293  Amino acid/polyamine transporter I 
ch01	Solyc01g005910.2	595042	598983	3942	EDS001	Acid phosphatase/vanadium-dependent haloperoxidase related (AHRD V1 *--- B2A528_NATTJ)%3B contains Interpro domain(s)  IPR003832  Acid phosphatase/vanadium-dependent haloperoxidase related 
ch01	Solyc01g005920.2	600898	602616	1719	EDS001	Amino acid permease (Fragment) (AHRD V1 ***- B8C3S3_THAPS)%3B contains Interpro domain(s)  IPR002293  Amino acid/polyamine transporter I 
ch01	Solyc01g005930.2	606558	610602	4045	EDS001	Unknown Protein (AHRD V1)
ch01	Solyc01g005940.2	613955	617183	3229	EDS001	Phytoene synthase 3
ch01	Solyc01g005950.2	617606	624776	7171	EDS001	Serine/threonine-protein phosphatase (AHRD V1 **** B9GY91_POPTR)%3B contains Interpro domain(s)  IPR006186  Serine/threonine-specific protein phosphatase and bis(5-nucleosyl)-tetraphosphatase 
ch01	Solyc01g005960.2	625583	632996	7414	EDS001	ATP dependent RNA helicase (AHRD V1 ***- B3LKV6_YEAS1)%3B contains Interpro domain(s)  IPR011545  DNA/RNA helicase%2C DEAD/DEAH box type%2C N-terminal 
ch01	Solyc01g005970.2	642518	647246	4729	EDS001	Kelch-like protein 3 (AHRD V1 *-*- KLHL3_PONAB)%3B contains Interpro domain(s)  IPR015915  Kelch-type beta propeller 
ch01	Solyc01g005980.2	650449	652528	2080	EDS001	POT family domain containing protein expressed (AHRD V1 *-*- D8L9H8_WHEAT)%3B contains Interpro domain(s)  IPR007493  Protein of unknown function DUF538 
ch01	Solyc01g005990.2	653649	655542	1894	EDS001	Non-specific lipid-transfer protein (AHRD V1 *-*- B9REN2_RICCO)%3B contains Interpro domain(s)  IPR003612  Plant lipid transfer protein/seed storage/trypsin-alpha amylase inhibitor 
ch01	Solyc01g006000.2	663324	669843	6520	EDS001	GPI mannosyltransferase 2 (AHRD V1 **** A8N6M5_COPC7)%3B contains Interpro domain(s)  IPR007315  Mannosyltransferase%2C PIG-V 
ch01	Solyc01g006010.2	671174	678641	7468	EDS001	Branchpoint-bridging protein (AHRD V1 *--- C1FYD8_PARBD)
ch01	Solyc01g006020.2	679453	682301	2849	EDS001	At3g32930-like protein (Fragment) (AHRD V1 *-*- B3SKU7_ARAHA)
ch01	Solyc01g006030.2	713315	717230	3916	EDS001	E3 ubiquitin-protein ligase bre1 (AHRD V1 *-*- B6K254_SCHJY)%3B contains Interpro domain(s)  IPR018957  Zinc finger%2C C3HC4 RING-type 
ch01	Solyc01g006040.2	716528	726655	10128	EDS001	E3 ubiquitin-protein ligase BRE1-like 2 (AHRD V1 ***- BRE1B_ARATH)
ch01	Solyc01g006050.2	729095	730484	1390	EDS001	Plant viral-response family protein (AHRD V1 **-- B6SQA7_MAIZE)%3B contains Interpro domain(s)  IPR006904  Protein of unknown function DUF716 
ch01	Solyc01g006060.2	737473	738211	739	EDS001	Disease resistance response protein (AHRD V1 ***- A8IXC7_BRACM)%3B contains Interpro domain(s)  IPR004265  Plant disease resistance response protein 
ch01	Solyc01g006070.2	739814	740772	959	EDS001	Plant viral-response family protein (AHRD V1 ***- B6SQA7_MAIZE)%3B contains Interpro domain(s)  IPR006904  Protein of unknown function DUF716 
ch01	Solyc01g006080.1	747083	750281	3199	EDS001	Protein involved in mRNA turnover and stability (ISS) (AHRD V1 ***- Q00X49_OSTTA)%3B contains Interpro domain(s)  IPR008507  Protein of unknown function DUF789 
ch01	Solyc01g006090.2	754311	755769	1459	EDS001	rRNA processing protein Ebp2 (AHRD V1 **-- B6K460_SCHJY)%3B contains Interpro domain(s)  IPR008610  Eukaryotic rRNA processing 
ch01	Solyc01g006100.2	756827	764851	8025	EDS001	Cytosine-specific methyltransferase (AHRD V1 *-*- B4XTS9_ELAGV)%3B contains Interpro domain(s)  IPR001525  C-5 cytosine-specific DNA methylase 
ch01	Solyc01g006110.2	766543	772337	5795	EDS001	PP2A regulatory subunit TAP46 (AHRD V1 **-- B6TVR5_MAIZE)%3B contains Interpro domain(s)  IPR007304  TAP42-like protein 
ch01	Solyc01g006120.2	776048	784378	8331	EDS001	Casein kinase-like protein (AHRD V1 ***- Q9LID3_ARATH)%3B contains Interpro domain(s)  IPR002290  Serine/threonine protein kinase 
ch01	Solyc01g006130.2	785470	789814	4345	EDS001	Homology to unknown gene (AHRD V1 *-*- Q010T6_OSTTA)%3B contains Interpro domain(s)  IPR001305  Heat shock protein DnaJ%2C cysteine-rich region 
ch01	Solyc01g006140.2	789370	793859	4490	EDS001	DNA replication factor Cdt1 (AHRD V1 *-*- CDT1_HUMAN)%3B contains Interpro domain(s)  IPR014939  DNA replication factor CDT1-like 
ch01	Solyc01g006150.2	797548	802155	4608	EDS001	Cation-efflux pump fieF (AHRD V1 ***- FIEF_KLEPN)%3B contains Interpro domain(s)  IPR002524  Cation efflux protein 
ch01	Solyc01g006160.2	805777	808340	2564	EDS001	Unknown Protein (AHRD V1)
ch01	Solyc01g006170.2	809135	810275	1141	EDS001	rRNA processing protein ebna1-binding protein-related (AHRD V1 *--* C4QG91_SCHMA)%3B contains Interpro domain(s)  IPR008610  Eukaryotic rRNA processing 
ch01	Solyc01g006180.2	813047	818684	5638	EDS001	GTP-binding protein-like (AHRD V1 ***- Q69NK1_ORYSJ)
ch01	Solyc01g006190.2	819250	823951	4702	EDS001	E3 ubiquitin-protein ligase sina (AHRD V1 **-* B0WR23_CULQU)%3B contains Interpro domain(s)  IPR004162  Seven in absentia protein 
ch01	Solyc01g006200.2	830032	833045	3014	EDS001	Unknown Protein (AHRD V1)
ch01	Solyc01g006210.2	833604	837884	4281	EDS001	Non-structural maintenance of chromosomes element 1 homolog (AHRD V1 ***- B5X8H0_SALSA)%3B contains Interpro domain(s)  IPR011513  Nse1 non-SMC component of SMC5-6 complex 
ch01	Solyc01g006220.2	839826	851722	11897	EDS001	Histone-lysine N-methyltransferase (AHRD V1 *-*- C1G685_PARBD)%3B contains Interpro domain(s)  IPR001214  SET 
ch01	Solyc01g006230.2	853672	859412	5741	EDS001	Cysteine protease (AHRD V1 **** A8NLD6_COPC7)%3B contains Interpro domain(s)  IPR005078  Peptidase C54 
ch01	Solyc01g006240.2	860311	861340	1030	EDS001	Myrosinase-binding protein-like At3g16440 (AHRD V1 **-* MB32_ARATH)%3B contains Interpro domain(s)  IPR001229  Mannose-binding lectin 
ch01	Solyc01g006250.1	862809	863127	319	EDS001	Unknown Protein (AHRD V1)%3B contains Interpro domain(s)  IPR001810  Cyclin-like F-box 
ch01	Solyc01g006260.2	868862	870137	1276	EDS001	Ribonuclease P/MRP protein subunit POP5 (AHRD V1 **** POP5_HUMAN)%3B contains Interpro domain(s)  IPR002759  Ribonuclease P-related 
ch01	Solyc01g006270.2	874094	874806	713	EDS001	Unknown Protein (AHRD V1)
ch01	Solyc01g006280.2	874303	880944	6642	EDS001	Formate-tetrahydrofolate ligase (AHRD V1 ***- D0MR27_PHYIN)%3B contains Interpro domain(s)  IPR000559  Formate-tetrahydrofolate ligase%2C FTHFS 
ch01	Solyc01g006290.2	884779	887621	2843	EDS001	Peroxidase (AHRD V1 **** Q42964_TOBAC)%3B contains Interpro domain(s)  IPR002016  Haem peroxidase%2C plant/fungal/bacterial 
ch01	Solyc01g006300.2	888896	891747	2852	EDS001	Peroxidase (AHRD V1 **** Q43774_SOLLC)%3B contains Interpro domain(s)  IPR002016  Haem peroxidase%2C plant/fungal/bacterial 
ch01	Solyc01g006310.2	899147	902371	3225	EDS001	Peroxidase (AHRD V1 ***- D7LZC8_ARALY)%3B contains Interpro domain(s)  IPR002016  Haem peroxidase%2C plant/fungal/bacterial 
ch01	Solyc01g006320.2	903793	904590	798	EDS001	Non-race specific disease resistance protein 1-like protein b (AHRD V1 ***- D2CFI3_COFAR)%3B contains Interpro domain(s)  IPR010847  Harpin-induced 1 
ch01	Solyc01g006330.2	909572	913930	4359	EDS001	PAP fibrillin family protein (AHRD V1 *-*- B7KDB3_CYAP7)%3B contains Interpro domain(s)  IPR006843  PAP fibrillin 
ch01	Solyc01g006340.2	915539	918894	3356	EDS001	ATP dependent RNA helicase (AHRD V1 ***- B3LKV6_YEAS1)%3B contains Interpro domain(s)  IPR011545  DNA/RNA helicase%2C DEAD/DEAH box type%2C N-terminal 
ch01	Solyc01g006350.2	934429	952385	17957	EDS001	Glucan synthase like 7 (AHRD V1 ***- D8TE42_SELML)%3B contains Interpro domain(s)  IPR003440  Glycosyl transferase%2C family 48 
ch01	Solyc01g006360.2	955781	982687	26907	EDS001	Glucan synthase like 7 (AHRD V1 ***- D8T771_SELML)
ch01	Solyc01g006370.2	983795	1005620	21826	EDS001	Glucan synthase like 3 (AHRD V1 ***- D8R8I5_SELML)%3B contains Interpro domain(s)  IPR003440  Glycosyl transferase%2C family 48 
ch01	Solyc01g008950.2	2960056	2963201	3146	EDS002	Calmodulin 5/6/7/8-like protein (AHRD V1 ***- Q3HVL6_SOLTU)%3B contains Interpro domain(s)  IPR011992  EF-Hand type 
ch01	Solyc01g008960.2	2976372	2984961	8590	EDS002	Argonaute 4-like protein (AHRD V1 ***- D5FQ91_PELHO)%3B contains Interpro domain(s)  IPR003165  Stem cell self-renewal protein Piwi 
ch01	Solyc01g008970.2	2988194	2990000	1807	EDS002	Heterogeneous nuclear ribonucleoprotein A3-like protein 2 (AHRD V1 *--- B6TV58_MAIZE)%3B contains Interpro domain(s)  IPR000504  RNA recognition motif%2C RNP-1 
ch01	Solyc01g008980.2	2995054	2999268	4215	EDS002	BZIP transcription factor (AHRD V1 **-- Q32WR6_MALDO)%3B contains Interpro domain(s)  IPR011616  bZIP transcription factor%2C bZIP-1 
ch01	Solyc01g008990.2	3003153	3007525	4373	EDS002	THO complex subunit 7 homolog (AHRD V1 ***- B5XFL3_SALSA)%3B contains Interpro domain(s)  IPR018018  Tho complex subunit 7 
ch01	Solyc01g009000.2	3012133	3013463	1331	EDS002	RING finger protein 6 (AHRD V1 *--- RNF6_HUMAN)%3B contains Interpro domain(s)  IPR018957  Zinc finger%2C C3HC4 RING-type 
ch01	Solyc01g009010.2	3014153	3020442	6290	EDS002	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (AHRD V1 ***- A4USB3_NICBE)%3B contains Interpro domain(s)  IPR004424  4-diphosphocytidyl-2C-methyl-D-erythritol kinase 
ch01	Solyc01g009020.2	3021936	3024369	2434	EDS002	Cysteine proteinase inhibitor (AHRD V1 **** Q2VY67_9ERIC)%3B contains Interpro domain(s)  IPR000010  Proteinase inhibitor I25%2C cystatin 
ch01	Solyc01g009030.2	3025820	3038891	13072	EDS002	Nuclear control of ATPase protein (AHRD V1 *--- C9SK53_VERA1)%3B contains Interpro domain(s)  IPR013946  Nuclear control of ATP synthase 2 
ch01	Solyc01g009040.2	3041736	3044740	3005	EDS002	Cyclin B1 (AHRD V1 **** Q9LD02_TOBAC)%3B contains Interpro domain(s)  IPR014400  Cyclin%2C A/B/D/E 
ch01	Solyc01g009050.2	3045561	3064835	19275	EDS002	Molybdenum cofactor biosynthesis protein (AHRD V1 ***- Q309F9_MAIZE)%3B contains Interpro domain(s)  IPR005110  MoeA%2C N-terminal%2C domain I and II 
ch01	Solyc01g009490.1	3725257	3725691	435	EDS003	cDNA clone J100026I16 full insert sequence (AHRD V1 **-- B7FA06_ORYSJ)
ch01	Solyc01g009500.2	3739772	3743748	3977	EDS003	Hydrolase alpha/beta fold family protein (AHRD V1 **** D7LRW3_ARALY)%3B contains Interpro domain(s)  IPR000073  Alpha/beta hydrolase fold-1 
ch01	Solyc01g009510.1	3775733	3778200	2468	EDS003	Unknown Protein (AHRD V1)%3B contains Interpro domain(s)  IPR011616  bZIP transcription factor%2C bZIP-1 
ch01	Solyc01g009520.2	3780910	3784239	3330	EDS003	Ribosomal protein (AHRD V1 ***- Q6ER67_ORYSJ)%3B contains Interpro domain(s)  IPR002143  Ribosomal protein L1 
ch01	Solyc01g009530.1	3784538	3785794	1257	EDS003	Genomic DNA chromosome 3 TAC clone K7P8 (AHRD V1 *--- Q9LRY2_ARATH)
ch01	Solyc01g009540.1	3785861	3786148	288	EDS003	Genomic DNA chromosome 3 TAC clone K7P8 (AHRD V1 ***- Q9LRY2_ARATH)
ch01	Solyc01g009550.1	3810136	3810399	264	EDS003	Hypothetical chloroplast RF1 (AHRD V1 ***- C3UP30_9MAGN)
ch01	Solyc01g009560.1	3813639	3814545	907	EDS003	Terminal flower 1 (Fragment) (AHRD V1 **-- B3VT07_9ROSA)%3B contains Interpro domain(s)  IPR008914  Phosphatidylethanolamine-binding protein PEBP 
ch01	Solyc01g009570.2	3822172	3822737	566	EDS003	Unknown Protein (AHRD V1)
ch01	Solyc01g009580.1	3828755	3830538	1784	EDS003	Terminal flower 1 (Fragment) (AHRD V1 **-- B3VT07_9ROSA)%3B contains Interpro domain(s)  IPR008914  Phosphatidylethanolamine-binding protein PEBP 
ch01	Solyc01g010450.1	5349472	5351378	1907	EDS004	Ulp1 protease family C-terminal catalytic domain containing protein (AHRD V1 *-*- Q60D46_SOLDE)
ch01	Solyc01g010460.2	5356756	5359109	2354	EDS004	Unknown Protein (AHRD V1)
ch01	Solyc01g010470.2	5362049	5364988	2940	EDS004	Isoamylase N-terminal domain containing protein (AHRD V1 ***- Q6AVV5_ORYSJ)
ch01	Solyc01g010480.2	5365583	5369039	3457	EDS004	Potassium voltage-gated channel subfamily H member 8 (AHRD V1 *--- KCNH8_HUMAN)%3B contains Interpro domain(s)  IPR013767  PAS fold 
ch01	Solyc01g010490.2	5373579	5375529	1951	EDS004	Cytochrome P450
ch01	Solyc01g010500.1	5446120	5450141	4022	EDS004	Ein3-binding f-box protein 3 (AHRD V1 *-*- B9HA53_POPTR)
ch01	Solyc01g010510.2	5508421	5510219	1799	EDS004	Pentatricopeptide repeat-containing protein (AHRD V1 ***- D7KPN1_ARALY)%3B contains Interpro domain(s)  IPR002885  Pentatricopeptide repeat 
ch01	Solyc01g010520.2	5540492	5544218	3727	EDS004	Uncharacterized plant-specific domain TIGR01589 family protein (AHRD V1 ***- Q60CZ4_SOLDE)%3B contains Interpro domain(s)  IPR006476  Conserved hypothetical protein CHP01589%2C plant 
ch01	Solyc01g010530.1	5548702	5550171	1470	EDS004	Solute carrier family 2%2C facilitated glucose transporter member 3 (AHRD V1 ***- GTR3_RAT)%3B contains Interpro domain(s)  IPR003663  Sugar/inositol transporter 
ch01	Solyc01g010540.2	5553483	5556672	3190	EDS004	Ribosomal protein (AHRD V1 ***- B3TM27_ELAGV)%3B contains Interpro domain(s)  IPR002942  RNA-binding S4  IPR018079  Ribosomal protein S4%2C conserved site  IPR001912  Ribosomal protein S4 
ch01	Solyc01g010550.1	5557953	5558637	685	EDS004	Unknown Protein (AHRD V1)
ch01	Solyc01g010570.2	5581068	5585872	4805	EDS004	Mucin-like protein (Fragment) (AHRD V1 ***- B0FSK5_9MAGN)
ch01	Solyc01g010580.2	5590470	5593394	2925	EDS004	Ribosomal protein (AHRD V1 ***- B3TM27_ELAGV)%3B contains Interpro domain(s)  IPR002942  RNA-binding S4  IPR018079  Ribosomal protein S4%2C conserved site  IPR001912  Ribosomal protein S4 
ch01	Solyc01g010590.2	5594931	5600715	5785	EDS004	Peptidyl-prolyl cis-trans isomerase A (AHRD V1 ***- B6TSE8_MAIZE)%3B contains Interpro domain(s)  IPR002130  Peptidyl-prolyl cis-trans isomerase%2C cyclophilin-type 
ch01	Solyc01g010600.2	5607104	5611257	4154	EDS004	Homeobox-leucine zipper-like protein (AHRD V1 *-*- Q3HRT1_PICGL)%3B contains Interpro domain(s)  IPR001356  Homeobox 
ch01	Solyc01g010610.1	5628975	5629671	697	EDS004	Unknown Protein (AHRD V1)%3B contains Interpro domain(s)  IPR003656  Zinc finger%2C BED-type predicted 
ch01	Solyc01g010630.1	5634522	5639332	4811	EDS004	Ulp1 protease family C-terminal catalytic domain containing protein (AHRD V1 *-*- Q60D46_SOLDE)
ch01	Solyc01g010640.2	5646161	5647113	953	EDS004	Uncharacterized membrane protein (AHRD V1 **-- Q46JN3_PROMT)%3B contains Interpro domain(s)  IPR001395  Aldo/keto reductase 
ch01	Solyc01g010650.2	5655290	5660901	5612	EDS004	UDP-galactose transporter 3 (AHRD V1 **** D7KBJ4_ARALY)%3B contains Interpro domain(s)  IPR013657  UAA transporter 
ch01	Solyc01g010660.2	5673997	5680626	6630	EDS004	Receptor-like protein kinase At3g21340 (AHRD V1 **** RLK6_ARATH)%3B contains Interpro domain(s)  IPR002290  Serine/threonine protein kinase 
ch01	Solyc01g010670.1	5692071	5693406	1336	EDS004	Unknown Protein (AHRD V1)
ch01	Solyc01g010680.1	5698129	5701473	3345	EDS004	Genomic DNA chromosome 5 P1 clone MRD20 (AHRD V1 *--- Q9FH72_ARATH)%3B contains Interpro domain(s)  IPR004332  Transposase%2C MuDR%2C plant 
ch01	Solyc01g010690.1	5704672	5706189	1518	EDS004	Polyvinylalcohol dehydrogenase (AHRD V1 ***- D4SWQ1_9XANT)%3B contains Interpro domain(s)  IPR011047  Quinonprotein alcohol dehydrogenase-like 
ch01	Solyc01g010700.2	5726264	5728807	2544	EDS004	AKIN gamma (AHRD V1 **-- B4FX20_MAIZE)%3B contains Interpro domain(s)  IPR000644  Cystathionine beta-synthase%2C core 
ch01	Solyc01g010710.2	5740284	5746099	5816	EDS004	Serine carboxypeptidase 1 (AHRD V1 **** B6U0V5_MAIZE)%3B contains Interpro domain(s)  IPR001563  Peptidase S10%2C serine carboxypeptidase 
ch01	Solyc01g010720.2	5747143	5750774	3632	EDS004	Serine carboxypeptidase K10B2.2 (AHRD V1 **** B6TKD2_MAIZE)%3B contains Interpro domain(s)  IPR001563  Peptidase S10%2C serine carboxypeptidase 
ch01	Solyc01g010730.1	5759086	5759364	279	EDS004	Serine carboxypeptidase (AHRD V1 ***- B6SWY3_MAIZE)%3B contains Interpro domain(s)  IPR001563  Peptidase S10%2C serine carboxypeptidase 
ch01	Solyc01g010740.2	5778009	5781979	3971	EDS004	Pectate lyase family protein (AHRD V1 **** D7M6R5_ARALY)%3B contains Interpro domain(s)  IPR002022  Pectate lyase/Amb allergen 
ch01	Solyc01g010750.2	5783031	5788195	5165	EDS004	Stress responsive protein (AHRD V1 *--- B6STP1_MAIZE)%3B contains Interpro domain(s)  IPR008997  Ricin B-related lectin 
ch01	Solyc01g010810.2	6209686	6214247	4562	EDS005	RAN guanine nucleotide release factor (AHRD V1 **-* B6TPU9_MAIZE)%3B contains Interpro domain(s)  IPR016123  Mog1/PsbP%2C alpha/beta/alpha sandwich 
ch01	Solyc01g010820.2	6221769	6229793	8025	EDS005	Cullin C (AHRD V1 ***- D3BHJ6_POLPA)%3B contains Interpro domain(s)  IPR001373  Cullin%2C N-terminal 
ch01	Solyc01g010830.2	6230907	6239250	8344	EDS005	HAD-superfamily hydrolase (AHRD V1 ***- D5A3P4_SPIPL)%3B contains Interpro domain(s)  IPR011949  HAD-superfamily hydrolase%2C subfamily IA%2C REG-2-like 
ch01	Solyc01g014110.2	11642471	11642875	405	EDS006	Unknown Protein (AHRD V1)
ch01	Solyc01g014120.2	11643649	11646290	2642	EDS006	Unknown Protein (AHRD V1)
ch01	Solyc01g014130.1	11672562	11673069	508	EDS006	LRR receptor-like serine/threonine-protein kinase%2C RLP
ch01	Solyc01g014140.2	11691078	11691596	519	EDS006	Hcr9-9D (AHRD V1 ***- O50021_SOLPI)
ch01	Solyc01g014150.1	11713328	11714484	1157	EDS006	LRR receptor-like serine/threonine-protein kinase%2C RLP
ch01	Solyc01g014950.1	16169041	16170524	1484	EDS007	Unknown Protein (AHRD V1)
ch01	Solyc01g014960.1	16206318	16208926	2609	EDS007	Transcription factor bHLH95 (AHRD V1 ***- BH095_ARATH)
ch01	Solyc01g014980.2	16554687	16555664	978	EDS008	Unknown Protein (AHRD V1)
ch01	Solyc01g014990.1	16559564	16560267	704	EDS008	Unknown Protein (AHRD V1)
ch01	Solyc01g015000.2	16590794	16594525	3732	EDS008	Nitrogen regulatory protein P-II (AHRD V1 *-*- Q8DLA5_THEEB)%3B contains Interpro domain(s)  IPR002187  Nitrogen regulatory protein PII 
ch01	Solyc01g015010.1	16595647	16595820	174	EDS008	Unknown Protein (AHRD V1)
ch01	Solyc01g015020.2	16607107	16609448	2342	EDS008	PRLI-interacting factor A (Fragment) (AHRD V1 *-*- Q9FUB4_ARATH)
ch01	Solyc01g015030.1	16669138	16671698	2561	EDS008	Unknown Protein (AHRD V1)
ch01	Solyc01g016840.1	22475249	22475641	393	EDS009	Unknown Protein (AHRD V1)
ch01	Solyc01g016850.1	22563951	22564184	234	EDS009	Unknown Protein (AHRD V1)
ch01	Solyc01g016860.1	22639483	22640394	912	EDS009	Transposase family tnp2 protein (AHRD V1 *--- Q6ATT2_ORYSJ)
ch01	Solyc01g017750.1	25350732	25354021	3290	EDS010	Unknown Protein (AHRD V1)
ch01	Solyc01g017760.1	25359170	25361127	1958	EDS010	Unknown Protein (AHRD V1)
ch01	Solyc01g017770.1	25365692	25366738	1047	EDS010	F-box family protein (AHRD V1 ***- D7MFP4_ARALY)%3B contains Interpro domain(s)  IPR013187  F-box associated type 3 
ch01	Solyc01g017780.1	25381087	25382741	1655	EDS010	Transposon Ty1-BR Gag-Pol polyprotein (AHRD V1 ***- YB12B_YEAST)%3B contains Interpro domain(s)  IPR001584  Integrase%2C catalytic core 
ch01	Solyc01g017790.1	25427746	25432286	4541	EDS010	ARID/BRIGHT DNA-binding domain-containing protein (AHRD V1 ***- D7KTU4_ARALY)%3B contains Interpro domain(s)  IPR008978  HSP20-like chaperone 
ch01	Solyc01g017800.1	25436512	25436727	216	EDS010	Unknown Protein (AHRD V1)
ch01	Solyc01g020180.1	27860763	27862075	1313	EDS012	Transcription factor bHLH95 (AHRD V1 *-*- BH095_ARATH)
