Sweep	Chromsome	Start	End	Length(bp)	P	-log10(p)
EDS054	ch01	82910000	83010000	100000	0.0007156359	3.1453078810995962
EDS055	ch01	83250000	83400000	150000	0.00070178085	3.1539237696310565
EDS056	ch01	85810000	85990000	180000	0.0008773192285714286	3.0625161296211525
EDS057	ch01	90210000	90320000	110000	0.0002615913	3.582376703867733
EDS058	ch02	4160000	5400000	1240000	0.00020104610625259196	6.585003681606174
EDS059	ch02	5730000	5860000	130000	5.30262500047958e-12	18.564012423438374
EDS060	ch02	30820000	30920000	100000	0.0009893346	3.0046568020756195
EDS061	ch02	47340000	47450000	110000	0.0007419198	3.1420792731757228
EDS062	ch02	47840000	47960000	120000	0.00045312263333333334	3.400645211497142
EDS063	ch02	48510000	48680000	170000	0.0005308769	3.284534791564386
EDS064	ch03	3550000	3650000	100000	2.007783e-06	5.697283227281597
EDS065	ch03	6920000	7030000	110000	0.0007258797500000001	3.139275352585175
EDS066	ch03	8240000	8370000	130000	0.00071529685	3.1537272571737924
EDS067	ch03	9820000	9920000	100000	0.001038765	2.9834826918526525
EDS068	ch03	10340000	10570000	230000	0.0009164037166666666	3.0401935621025165
EDS069	ch03	37000000	37320000	320000	6.44977e-06	6.236641622370888
EDS070	ch03	41670000	41800000	130000	2.560342125e-06	6.98187431987612
EDS071	ch03	45740000	45930000	190000	0.0009086186099999999	3.045185522622194
EDS072	ch03	46800000	47080000	280000	0.0007682139333333333	3.1405995833174103
EDS073	ch03	47360000	49120000	1760000	0.0005226842819565219	3.4299630622871153
EDS074	ch03	49610000	49720000	110000	0.0010051968000000001	2.997835349499806
EDS075	ch03	49950000	51840000	1890000	0.0005345296868686868	3.3199057522416973
EDS076	ch03	52100000	52800000	700000	0.0006939112347826088	3.1773080318527747
EDS077	ch03	53340000	53450000	110000	0.0005640600999999999	3.250989520948532
EDS078	ch03	55460000	55730000	270000	0.0004294421485166666	10.627410449130412
EDS079	ch03	58550000	58650000	100000	0.0009639146	3.015961441607214
EDS080	ch03	63560000	64050000	490000	0.0007188845384615386	3.151270616594033
EDS081	ch03	64330000	64430000	100000	0.001014009	2.9939581903350385
EDS082	ch03	64730000	64830000	100000	0.001006992	2.9969739796645114
EDS083	ch04	1710000	1850000	140000	0.00064221242	3.2120247660229913
EDS084	ch04	2440000	2550000	110000	0.0009087411	3.0415598294917134
EDS085	ch04	7420000	7570000	150000	0.00048364594560000004	3.7579152625444707
EDS086	ch04	9960000	10100000	140000	1.9902529246000002e-05	5.4954715113244355
EDS087	ch04	20020000	20120000	100000	3.985539e-05	4.399512936778195
EDS088	ch04	23300000	23640000	340000	5.480117951666665e-07	6.582696438387271
EDS089	ch04	29770000	29960000	190000	1.1610000000000002e-05	4.935167780261425
EDS090	ch04	43640000	43740000	100000	0.001026616	2.988591971462786
EDS091	ch04	52610000	52750000	140000	0.00052679292	3.2829489834042698
EDS092	ch04	59770000	59870000	100000	0.0007517817	3.1239082501648356
EDS093	ch04	60440000	60550000	110000	0.00084628305	3.0732385349328935
EDS094	ch04	62020000	62120000	100000	0.0009505975	3.0220033322016144
EDS095	ch04	62340000	63360000	1020000	0.0006045548667499999	3.2901780446029414
EDS096	ch05	50000	1530000	1480000	0.0005874753071999998	3.2768188703052905
EDS097	ch05	1810000	2030000	220000	0.00076346675	3.138320410534922
EDS098	ch05	3650000	3760000	110000	0.0009255444	3.037309159873425
EDS099	ch05	4580000	4690000	110000	0.00092554175	3.035345751023933
EDS100	ch05	17640000	17780000	140000	0.0006025530333333334	3.3070302189539746
EDS101	ch05	28240000	28410000	170000	2.4735999999999997e-08	7.60667052776177
EDS102	ch05	34110000	34240000	130000	0.0003307046	3.5910349204335557
EDS103	ch05	38240000	38360000	120000	4.684590333333333e-11	10.330280093525106
EDS104	ch05	62720000	62950000	230000	0.0005405074	3.3282379776876545
EDS105	ch05	64630000	64730000	100000	0.0007890925	3.102872084388902
EDS106	ch06	300000	400000	100000	0.001028716	2.9877045053703393
EDS107	ch06	890000	1020000	130000	0.00073249925	3.1352444964048463
EDS108	ch06	5190000	5540000	350000	0.00044345248339462234	4.8938961573547095
EDS109	ch06	6260000	6570000	310000	0.0008464808714285713	3.079795835125785
EDS110	ch06	8540000	9580000	1040000	0.0005289189344137499	3.794284571855975
EDS111	ch06	10870000	11210000	340000	0.0006740263716666666	3.995882021256023
EDS112	ch06	11810000	12210000	400000	0.0008123053	3.105000909044379
EDS113	ch06	12520000	12660000	140000	0.00043015633999999995	3.458250731190148
EDS114	ch06	12980000	13460000	480000	0.0007988750857142857	3.110027079698076
EDS115	ch06	13700000	14370000	670000	0.0005256728692307692	3.3525304062057986
EDS116	ch06	14600000	16020000	1420000	0.00012645122402306106	10.159831194669465
EDS117	ch06	16790000	17170000	380000	0.0008245983	3.0918562149904667
EDS118	ch06	17980000	18220000	240000	0.0009024259	3.0485500799481393
EDS119	ch06	18490000	18620000	130000	0.00022241995	3.6780246671391925
EDS120	ch06	18880000	18980000	100000	0.0009065747	3.042596405069641
EDS121	ch06	19200000	19300000	100000	0.0009178191	3.0372429087918356
EDS122	ch06	20700000	21240000	540000	0.0007952559818181818	3.1063534398335007
EDS123	ch06	21510000	21620000	110000	0.0006894099000000001	3.1623258635721685
EDS124	ch06	22250000	22380000	130000	0.0007665458	3.1312539418175045
EDS125	ch06	22750000	23400000	650000	0.00084592938	3.081132783821915
EDS126	ch06	23670000	24010000	340000	0.0007156213615384614	3.158973217787226
EDS127	ch06	24360000	25170000	810000	0.0007460230058823529	3.1728537198268816
EDS128	ch06	25680000	26170000	490000	0.00044150224000000005	4.7159460073376485
EDS129	ch06	26550000	26990000	440000	0.0007387291222222221	3.141255445075011
EDS130	ch06	27280000	27610000	330000	0.0004154599241666666	3.57881136365966
EDS131	ch06	28150000	28250000	100000	0.0008747884	3.058096984492873
EDS132	ch06	31150000	31250000	100000	0.0006080342	3.2160719923496996
EDS133	ch06	34110000	34210000	100000	0.0009305385	3.031265653708221
EDS134	ch06	39480000	39730000	250000	0.00066982334	3.2090628163760497
EDS135	ch06	40350000	40510000	160000	0.0002561054142857143	3.7444825270188473
EDS136	ch06	40890000	41010000	120000	0.0007708212999999999	3.12011075171379
EDS137	ch07	0	100000	100000	0.0007871743	3.1039290933754744
EDS138	ch07	430000	540000	110000	0.00062601765	3.229585706562726
EDS139	ch07	830000	1530000	700000	0.00047520634062500004	3.3954727528659845
EDS140	ch07	2540000	2700000	160000	0.0005212591571428571	3.286631548248138
EDS141	ch07	3120000	3220000	100000	0.0005784952	3.237700240207757
EDS142	ch07	4020000	4140000	120000	0.0009241792666666665	3.0346515666373413
EDS143	ch07	4430000	4920000	490000	0.00046298335193386674	5.0979517655042486
EDS144	ch07	6340000	6470000	130000	0.0009005046000000001	3.0465589963669344
EDS145	ch07	7410000	7980000	570000	0.0007827856421052633	3.1193148105502
EDS146	ch07	8220000	8320000	100000	0.0008855807	3.0527718568705664
EDS147	ch07	8670000	13320000	4650000	0.0005501190718153889	3.8253726996386614
EDS148	ch07	13660000	16320000	2660000	0.0005375491235294119	3.3111151574015985
EDS149	ch07	16910000	17260000	350000	0.00022006164233599997	4.385303794953668
EDS150	ch07	17470000	18490000	1020000	0.0005761002758490567	3.336285828738966
EDS151	ch07	18720000	42710000	23990000	0.0005397991764920038	3.50321648263721
EDS152	ch07	42940000	48880000	5940000	0.0005507302836942679	3.3390579262005637
EDS153	ch07	49110000	52250000	3140000	0.0003845186043892859	3.587509052607167
EDS154	ch07	52900000	53460000	560000	0.000628611976923077	3.226081642535618
EDS155	ch07	53910000	54710000	800000	0.0007531830119999999	3.1658871362688354
EDS156	ch07	55260000	55640000	380000	0.0006448846	3.266481975766083
EDS157	ch07	56050000	56870000	820000	0.0006414872653846155	3.266467759498155
EDS158	ch07	60770000	60920000	150000	0.0007316831500000001	3.141299471525975
EDS159	ch08	18010000	18110000	100000	0.000379389	3.4209152651936816
EDS160	ch08	20210000	20350000	140000	0.000297205571318	5.12754737410423
EDS161	ch08	21260000	21360000	100000	3.883433e-06	5.410784183230264
EDS162	ch08	25350000	25450000	100000	4.920031e-06	5.30803216083294
EDS163	ch08	40200000	40360000	160000	1.3414826571428568e-09	9.373812846117374
EDS164	ch08	42260000	42370000	110000	0.0004231693000000019	10.244889498870995
EDS165	ch08	54230000	54380000	150000	0.0007572645500000001	3.13093334903857
EDS166	ch08	54680000	54940000	260000	0.000374730125	3.4675268713452314
EDS167	ch08	57380000	57870000	490000	0.0006270259333333333	3.2199731114515857
EDS168	ch08	58170000	58750000	580000	0.0005015507068	3.401878051547426
EDS169	ch08	59240000	59350000	110000	0.0008610014	3.0660152915469068
EDS170	ch08	60990000	61190000	200000	0.00069135554	3.178763484158794
EDS171	ch08	61800000	62410000	610000	0.0008652409058823529	3.065908063296181
EDS172	ch08	62920000	63050000	130000	0.00075529065	3.123559427641457
EDS173	ch09	6460000	6580000	120000	0.0002962930333333333	3.5355565517165233
EDS174	ch09	9250000	9350000	100000	0.0007952755	3.099482396622689
EDS175	ch09	14500000	14600000	100000	0.001001324	2.9994253744242045
EDS176	ch09	25410000	25530000	120000	6.042782333333333e-05	4.3230571934677045
EDS177	ch09	54610000	54730000	120000	0.0007302629333333332	3.1580086045406683
EDS178	ch09	59960000	60060000	100000	0.001013847	2.994027579587745
EDS179	ch09	60890000	60990000	100000	0.0005746973	3.240560843231459
EDS180	ch09	63880000	63980000	100000	0.0008234909	3.0843411956461657
EDS181	ch09	64700000	64840000	140000	0.00076986588	3.1206032485528987
EDS182	ch09	65550000	65650000	100000	0.0007002178	3.1547668533774407
EDS183	ch09	66130000	66250000	120000	0.001026837	2.988557232766711
EDS184	ch10	450000	720000	270000	0.000538378125	3.3032382487523733
EDS185	ch10	8180000	8280000	100000	1.921283e-14	13.716408659976352
EDS186	ch10	15460000	16130000	670000	0.0005292821073714018	4.361039313598552
EDS187	ch10	25480000	25610000	130000	4.685167499999999e-16	16.186427221482276
EDS188	ch10	25860000	26190000	330000	1.9320314418357145e-05	10.285110859841833
EDS189	ch10	37000000	37110000	110000	8.2742815e-05	4.083769729159653
EDS190	ch10	41510000	41660000	150000	6.299400666666666e-05	4.208348646254559
EDS191	ch10	43460000	43710000	250000	0.0008447221125	3.076277597849633
EDS192	ch10	45290000	45410000	120000	0.00031070706666666667	3.627711503877121
EDS193	ch10	55120000	55510000	390000	7.331809240000157e-05	20.5440356738429
EDS194	ch10	56700000	56800000	100000	0.0004737255	3.3244732371609595
EDS195	ch10	60530000	60640000	110000	0.00037402845000000004	3.427466572763511
EDS196	ch10	61160000	61290000	130000	0.0007265490250000001	3.1397965301600053
EDS197	ch10	61810000	62680000	870000	0.0005179758558823531	3.342623143964179
EDS198	ch10	63290000	63600000	310000	0.00077443788	3.156041492304291
EDS199	ch10	64250000	64650000	400000	0.0008489429000000001	3.0808042808009
EDS200	ch11	3900000	4170000	270000	0.00091110565	3.0446434460155682
EDS201	ch11	4730000	4830000	100000	0.001011187	2.9951685223929365
EDS202	ch11	5710000	5820000	110000	0.0004758914	3.324880110016795
EDS203	ch11	19880000	20030000	150000	1.572106666701257e-10	13.087250283622032
EDS204	ch11	43000000	43100000	100000	5.5182e-05	4.258202563131513
EDS205	ch11	47080000	47180000	100000	0.0009479006	3.0232372018337035
EDS206	ch11	47690000	47800000	110000	0.0009964156999999999	3.0015672917195513
EDS207	ch12	2800000	2940000	140000	0.0008826948333333333	3.0549755999968906
EDS208	ch12	4370000	4870000	500000	0.0006053976384615384	3.2801647662698223
EDS209	ch12	5580000	5860000	280000	0.0008030632	3.0990560958286304
EDS210	ch12	38170000	38380000	210000	0.0004681302	3.428959470108406
EDS211	ch12	38630000	39080000	450000	0.0009644390875	3.016284951423305
EDS212	ch12	43790000	43900000	110000	0.00013676025000000002	3.8643108804122166
EDS213	ch12	44360000	44580000	220000	0.00039798589230769226	3.521060812686248
EDS214	ch12	47940000	48050000	110000	0.00080941665	3.103420168668905
EDS215	ch12	48450000	48550000	100000	0.0009740228	3.0114308770040394
EDS216	ch12	64480000	64630000	150000	0.00082185455	3.091583871898306
EDS217	ch12	65330000	65500000	170000	0.0006255362375	3.206391573166926
