SNP	CHR	BP	P	-log10P
SL2.40ch01_27930000_28030000	1	27930000	3.627125e-04	3.44043747726357
SL2.40ch01_27940000_28040000	1	27940000	3.215376e-04	3.4927682341932162
SL2.40ch01_27950000_28050000	1	27950000	7.277159e-04	3.138038135994002
SL2.40ch01_28610000_28710000	1	28610000	8.701956e-04	3.0603831169759053
SL2.40ch01_30290000_30390000	1	30290000	9.979219e-04	3.000903446414306
SL2.40ch01_30630000_30730000	1	30630000	1.034050e-03	2.9854584610495283
SL2.40ch01_31080000_31180000	1	31080000	6.005198e-04	3.221472668712401
SL2.40ch01_31090000_31190000	1	31090000	7.764800e-04	3.1098697260287897
SL2.40ch01_31100000_31200000	1	31100000	9.296915e-04	3.031661139698225
SL2.40ch01_32500000_32600000	1	32500000	9.725617e-04	3.012082837180108
SL2.40ch01_32510000_32610000	1	32510000	1.014669e-03	2.993675607916174
SL2.40ch01_33610000_33710000	1	33610000	4.972754e-04	3.3034030245974715
SL2.40ch01_33620000_33720000	1	33620000	6.412969e-04	3.192940859437428
SL2.40ch01_33630000_33730000	1	33630000	6.475650e-04	3.1887166323053795
SL2.40ch01_33770000_33870000	1	33770000	1.038121e-03	2.9837520235880577
SL2.40ch01_36060000_36160000	1	36060000	7.136309e-04	3.146526353406384
SL2.40ch01_36070000_36170000	1	36070000	6.731518e-04	3.1718869885718037
SL2.40ch01_36080000_36180000	1	36080000	6.196793e-04	3.2078330109439546
SL2.40ch01_36090000_36190000	1	36090000	6.001903e-04	3.221711027722422
SL2.40ch01_36100000_36200000	1	36100000	6.502229e-04	3.1869377392869813
SL2.40ch01_36110000_36210000	1	36110000	8.067973e-04	3.093235563851765
SL2.40ch01_36490000_36590000	1	36490000	8.883774e-04	3.0514024982777013
SL2.40ch01_36510000_36610000	1	36510000	8.974081e-04	3.047010014845927
SL2.40ch01_38890000_38990000	1	38890000	7.497321e-04	3.1250938943100515
SL2.40ch01_38900000_39000000	1	38900000	7.379018e-04	3.132001430257957
SL2.40ch01_38910000_39010000	1	38910000	6.853351e-04	3.1640970248644265
SL2.40ch01_39400000_39500000	1	39400000	7.204299e-04	3.1424082709558654
SL2.40ch01_39410000_39510000	1	39410000	4.421660e-04	3.3544146551993683
SL2.40ch01_39420000_39520000	1	39420000	4.227897e-04	3.373875601515159
SL2.40ch01_39430000_39530000	1	39430000	6.531103e-04	3.1850134670616432
SL2.40ch01_39680000_39780000	1	39680000	9.579463e-04	3.018658835668158
SL2.40ch01_39690000_39790000	1	39690000	1.024574e-03	2.989456669150483
SL2.40ch01_39770000_39870000	1	39770000	9.396669e-04	3.027026071006237
SL2.40ch01_39780000_39880000	1	39780000	1.024328e-03	2.989560955683525
SL2.40ch01_39800000_39900000	1	39800000	9.681244e-04	3.01406883405284
SL2.40ch01_39820000_39920000	1	39820000	9.733956e-04	3.0117106212115172
SL2.40ch01_39830000_39930000	1	39830000	9.409491e-04	3.0264338688012358
SL2.40ch01_39840000_39940000	1	39840000	8.447533e-04	3.0732701029931477
SL2.40ch01_40100000_40200000	1	40100000	4.398987e-04	3.3566473214595107
SL2.40ch01_40110000_40210000	1	40110000	6.137645e-04	3.2119982346724756
SL2.40ch01_42040000_42140000	1	42040000	8.176667e-07	6.08742368880865
SL2.40ch01_42050000_42150000	1	42050000	3.955100e-41	40.402842531407984
SL2.40ch01_42060000_42160000	1	42060000	3.955100e-41	40.402842531407984
SL2.40ch01_42070000_42170000	1	42070000	2.855899e-37	36.544257155620755
SL2.40ch01_42330000_42430000	1	42330000	9.781779e-04	3.0095821534309826
SL2.40ch01_42340000_42440000	1	42340000	8.827473e-04	3.0541636021102567
SL2.40ch01_42350000_42450000	1	42350000	9.648949e-04	3.015519989076762
SL2.40ch01_42720000_42820000	1	42720000	1.084054e-04	3.964949083740521
SL2.40ch01_42730000_42830000	1	42730000	8.803179e-05	4.055360467299475
SL2.40ch01_42740000_42840000	1	42740000	3.299932e-05	4.481495009312732
SL2.40ch01_42750000_42850000	1	42750000	3.824006e-05	4.417481434972076
SL2.40ch01_42760000_42860000	1	42760000	2.373051e-05	4.62469292812039
SL2.40ch01_42770000_42870000	1	42770000	8.977264e-06	5.046856003060138
SL2.40ch01_42780000_42880000	1	42780000	1.271400e-25	24.89571779290556
SL2.40ch01_42790000_42890000	1	42790000	1.271400e-25	24.89571779290556
SL2.40ch01_42800000_42900000	1	42800000	1.350541e-04	3.86949222687566
SL2.40ch01_42810000_42910000	1	42810000	1.010782e-03	2.9953425005968786
SL2.40ch01_43620000_43720000	1	43620000	8.896564e-04	3.050777692677087
SL2.40ch01_44430000_44530000	1	44430000	7.493900e-04	3.1252921065101624
SL2.40ch01_44440000_44540000	1	44440000	1.258100e-40	39.900284837648975
SL2.40ch01_45500000_45600000	1	45500000	7.653367e-05	4.116147460556174
SL2.40ch01_45510000_45610000	1	45510000	7.653367e-05	4.116147460556174
SL2.40ch01_45520000_45620000	1	45520000	7.653367e-05	4.116147460556174
SL2.40ch01_45530000_45630000	1	45530000	7.653367e-05	4.116147460556174
SL2.40ch01_45540000_45640000	1	45540000	7.653367e-05	4.116147460556174
SL2.40ch01_45550000_45650000	1	45550000	7.653367e-05	4.116147460556174
SL2.40ch01_45560000_45660000	1	45560000	7.653367e-05	4.116147460556174
SL2.40ch01_45570000_45670000	1	45570000	7.653367e-05	4.116147460556174
SL2.40ch01_45580000_45680000	1	45580000	7.653367e-05	4.116147460556174
SL2.40ch01_45590000_45690000	1	45590000	7.653367e-05	4.116147460556174
SL2.40ch01_46080000_46180000	1	46080000	2.891380e-27	26.538894827368438
SL2.40ch01_46090000_46190000	1	46090000	1.875093e-04	3.726977187464159
SL2.40ch01_46100000_46200000	1	46100000	1.617728e-04	3.7910944975750294
SL2.40ch01_46110000_46210000	1	46110000	1.664582e-04	3.7786948059321586
SL2.40ch01_46530000_46630000	1	46530000	1.043830e-03	2.9813702255422285
SL2.40ch01_46540000_46640000	1	46540000	1.013734e-03	2.9940759872977263
SL2.40ch01_46550000_46650000	1	46550000	8.840420e-04	3.053527101576359
SL2.40ch01_46560000_46660000	1	46560000	8.848922e-04	3.0531096330272796
SL2.40ch01_46600000_46700000	1	46600000	9.924960e-04	3.003271234873591
SL2.40ch01_47280000_47380000	1	47280000	1.032313e-03	2.9861886035198983
SL2.40ch01_47620000_47720000	1	47620000	8.534156e-04	3.0688394227234896
SL2.40ch01_47630000_47730000	1	47630000	7.442342e-04	3.128290376601495
SL2.40ch01_47640000_47740000	1	47640000	7.647353e-04	3.116488862418135
SL2.40ch01_47650000_47750000	1	47650000	7.160001e-04	3.145086917036495
SL2.40ch01_47660000_47760000	1	47660000	6.222008e-04	3.206069434829112
SL2.40ch01_47670000_47770000	1	47670000	6.895777e-04	3.161416791446019
SL2.40ch01_47680000_47780000	1	47680000	4.391072e-04	3.3574294417509214
SL2.40ch01_47690000_47790000	1	47690000	2.989968e-04	3.5243334596681417
SL2.40ch01_47700000_47800000	1	47700000	7.339198e-04	3.134351395561379
SL2.40ch01_47760000_47860000	1	47760000	7.840077e-04	3.1056796719442747
SL2.40ch01_47770000_47870000	1	47770000	7.625199e-04	3.117748817755059
SL2.40ch01_47780000_47880000	1	47780000	7.551525e-04	3.121965335495833
SL2.40ch01_47820000_47920000	1	47820000	1.021224e-03	2.9908789873018966
SL2.40ch01_47830000_47930000	1	47830000	9.200383e-04	3.036194093162665
SL2.40ch01_49400000_49500000	1	49400000	9.512155e-04	3.021721081528953
SL2.40ch01_49410000_49510000	1	49410000	9.487883e-04	3.0228306794570132
SL2.40ch01_49440000_49540000	1	49440000	9.837905e-04	3.007097375533039
SL2.40ch01_49450000_49550000	1	49450000	8.815038e-04	3.05477581119736
SL2.40ch01_50750000_50850000	1	50750000	5.051957e-04	3.2965403546214964
SL2.40ch01_50760000_50860000	1	50760000	5.301617e-04	3.275591649819563
SL2.40ch01_50770000_50870000	1	50770000	5.440787e-04	3.264338275846594
SL2.40ch01_50780000_50880000	1	50780000	4.531440e-04	3.3437637660498147
SL2.40ch01_50790000_50890000	1	50790000	7.549803e-04	3.122064380440898
SL2.40ch01_50800000_50900000	1	50800000	7.384138e-04	3.1317001955034787
SL2.40ch01_50810000_50910000	1	50810000	9.851956e-04	3.006477536439093
SL2.40ch01_50820000_50920000	1	50820000	1.025315e-03	2.9891426890031605
SL2.40ch01_53750000_53850000	1	53750000	7.547789e-04	3.122180249129327
SL2.40ch01_53760000_53860000	1	53760000	9.870299e-04	3.0056696910909264
SL2.40ch01_55070000_55170000	1	55070000	7.939865e-04	3.100186881735812
SL2.40ch01_57360000_57460000	1	57360000	1.004348e-03	2.9981157809229475
SL2.40ch01_57370000_57470000	1	57370000	5.152793e-04	3.287957303834958
SL2.40ch01_57380000_57480000	1	57380000	4.928716e-04	3.3072662058230198
SL2.40ch01_57390000_57490000	1	57390000	4.487113e-04	3.34803299339126
SL2.40ch01_57400000_57500000	1	57400000	4.830479e-04	3.3160098015999786
SL2.40ch01_57410000_57510000	1	57410000	9.204226e-04	3.036012726232435
SL2.40ch01_58370000_58470000	1	58370000	9.478108e-04	3.0232783469621274
SL2.40ch01_58380000_58480000	1	58380000	9.806764e-04	3.0084742758808574
SL2.40ch01_58390000_58490000	1	58390000	8.467345e-04	3.072252744640323
SL2.40ch01_58400000_58500000	1	58400000	6.658376e-04	3.1766316837791617
SL2.40ch01_58410000_58510000	1	58410000	6.388127e-04	3.1946264583990938
SL2.40ch01_58420000_58520000	1	58420000	6.297806e-04	3.2008107216650448
SL2.40ch01_58430000_58530000	1	58430000	4.617356e-04	3.335606639879181
SL2.40ch01_58440000_58540000	1	58440000	4.127627e-04	3.3842995553636124
SL2.40ch01_58450000_58550000	1	58450000	4.720455e-04	3.3260161381316893
SL2.40ch01_58460000_58560000	1	58460000	7.210357e-04	3.1420432319114004
SL2.40ch01_58470000_58570000	1	58470000	9.194007e-04	3.0364951699287355
SL2.40ch01_58480000_58580000	1	58480000	8.817224e-04	3.0546681258938744
SL2.40ch01_59150000_59250000	1	59150000	4.249048e-04	3.371708362810842
SL2.40ch01_59160000_59260000	1	59160000	4.085224e-04	3.3887841253502127
SL2.40ch01_59170000_59270000	1	59170000	2.800196e-04	3.5528115691080195
SL2.40ch01_59180000_59280000	1	59180000	1.489117e-04	3.8270711783672584
SL2.40ch01_59190000_59290000	1	59190000	5.965330e-04	3.224365526308002
SL2.40ch01_59200000_59300000	1	59200000	5.327161e-04	3.273504177561899
SL2.40ch01_59210000_59310000	1	59210000	5.049631e-04	3.2967403566375673
SL2.40ch01_59220000_59320000	1	59220000	4.860475e-04	3.3133212863347183
SL2.40ch01_59230000_59330000	1	59230000	6.022782e-04	3.220202856223489
SL2.40ch01_59240000_59340000	1	59240000	6.259152e-04	3.203484501720437
SL2.40ch01_59250000_59350000	1	59250000	6.414020e-04	3.1928696902017637
SL2.40ch01_59260000_59360000	1	59260000	6.191185e-04	3.208226218555542
SL2.40ch01_59270000_59370000	1	59270000	6.177003e-04	3.2092221877374025
SL2.40ch01_59280000_59380000	1	59280000	6.457047e-04	3.189966052409963
SL2.40ch01_59290000_59390000	1	59290000	5.679691e-04	3.2456752911631526
SL2.40ch01_59300000_59400000	1	59300000	6.051363e-04	3.2181467944864393
SL2.40ch01_59310000_59410000	1	59310000	6.486818e-04	3.1879682868554258
SL2.40ch01_59320000_59420000	1	59320000	7.136536e-04	3.1465125390831146
SL2.40ch01_60270000_60370000	1	60270000	7.574259e-04	3.1206598483639065
SL2.40ch01_60280000_60380000	1	60280000	8.521687e-04	3.069474421399262
SL2.40ch01_60290000_60390000	1	60290000	7.361967e-04	3.1330061336089967
SL2.40ch01_60300000_60400000	1	60300000	6.763826e-04	3.169807573193135
SL2.40ch01_60310000_60410000	1	60310000	6.926129e-04	3.1595094239233705
SL2.40ch01_60320000_60420000	1	60320000	7.403247e-04	3.130577760688373
SL2.40ch01_60690000_60790000	1	60690000	8.855573e-04	3.0527833325329676
SL2.40ch01_60710000_60810000	1	60710000	9.843440e-04	3.0068531015750644
SL2.40ch01_60720000_60820000	1	60720000	3.750735e-04	3.425883618894667
SL2.40ch01_60730000_60830000	1	60730000	3.986897e-04	3.3993649840289657
SL2.40ch01_60740000_60840000	1	60740000	4.063984e-04	3.391048010548298
SL2.40ch01_60750000_60850000	1	60750000	4.048718e-04	3.392682471517325
SL2.40ch01_60760000_60860000	1	60760000	3.127266e-04	3.5048351768258295
SL2.40ch01_60770000_60870000	1	60770000	8.218593e-04	3.08520252608991
SL2.40ch01_60970000_61070000	1	60970000	7.514946e-04	3.124074135767197
SL2.40ch01_60980000_61080000	1	60980000	8.134573e-04	3.089665239114442
SL2.40ch01_60990000_61090000	1	60990000	8.187505e-04	3.0868484217822374
SL2.40ch01_61000000_61100000	1	61000000	9.702537e-04	3.0131146924307517
SL2.40ch01_61010000_61110000	1	61010000	1.011661e-03	2.994964991936679
SL2.40ch01_61260000_61360000	1	61260000	6.689963e-04	3.174576284166447
SL2.40ch01_61270000_61370000	1	61270000	6.405345e-04	3.1934574736380887
SL2.40ch01_61540000_61640000	1	61540000	1.021893e-03	2.9905945757691486
SL2.40ch01_61560000_61660000	1	61560000	1.005241e-03	2.9977298064795495
SL2.40ch01_61570000_61670000	1	61570000	9.534221e-04	3.0207147854939245
SL2.40ch01_61580000_61680000	1	61580000	7.985705e-04	3.0976867371217107
SL2.40ch01_61590000_61690000	1	61590000	7.068770e-04	3.150656148959138
SL2.40ch01_61600000_61700000	1	61600000	7.114632e-04	3.1478475586158985
SL2.40ch01_61710000_61810000	1	61710000	7.949484e-04	3.0996610604285015
SL2.40ch01_62080000_62180000	1	62080000	6.931954e-04	3.159144327898751
SL2.40ch01_62090000_62190000	1	62090000	8.002381e-04	3.096780775344106
SL2.40ch01_62100000_62200000	1	62100000	8.809867e-04	3.0550306479559537
SL2.40ch01_62120000_62220000	1	62120000	8.380227e-04	3.07674421722746
SL2.40ch01_62130000_62230000	1	62130000	8.564035e-04	3.0673215664738387
SL2.40ch01_62140000_62240000	1	62140000	9.444587e-04	3.0248170284825013
SL2.40ch01_64050000_64150000	1	64050000	6.788773e-04	3.168208712830336
SL2.40ch01_64060000_64160000	1	64060000	4.350015e-04	3.361509245480766
SL2.40ch01_64070000_64170000	1	64070000	1.184254e-04	3.92655513970113
SL2.40ch01_64080000_64180000	1	64080000	2.552920e-04	3.5929627943234115
SL2.40ch01_64090000_64190000	1	64090000	3.738928e-04	3.427252897911779
SL2.40ch01_64100000_64200000	1	64100000	5.330942e-04	3.2731960425204267
SL2.40ch01_64110000_64210000	1	64110000	5.512228e-04	3.2586728271864245
SL2.40ch01_64120000_64220000	1	64120000	7.106641e-04	3.1483356228799257
SL2.40ch01_64130000_64230000	1	64130000	6.302379e-04	3.2004954836343424
SL2.40ch01_64140000_64240000	1	64140000	9.270990e-04	3.0328738873678933
SL2.40ch01_64150000_64250000	1	64150000	9.608443e-04	3.0173469818728167
SL2.40ch01_64160000_64260000	1	64160000	9.361527e-04	3.028653305793431
SL2.40ch01_64690000_64790000	1	64690000	9.363840e-04	3.028546015704884
SL2.40ch01_64860000_64960000	1	64860000	1.040703e-03	2.982673193510183
SL2.40ch01_64870000_64970000	1	64870000	8.755249e-04	3.057731498034192
SL2.40ch01_64900000_65000000	1	64900000	9.480133e-04	3.023185569754664
SL2.40ch01_65010000_65110000	1	65010000	8.327325e-04	3.079494485305404
SL2.40ch01_65020000_65120000	1	65020000	8.832071e-04	3.0539374483575985
SL2.40ch01_65030000_65130000	1	65030000	6.704877e-04	3.1736091848088397
SL2.40ch01_65040000_65140000	1	65040000	7.701765e-04	3.113409736915608
SL2.40ch01_65050000_65150000	1	65050000	7.738303e-04	3.1113542691027942
SL2.40ch01_65060000_65160000	1	65060000	7.352326e-04	3.133575244703794
SL2.40ch01_65070000_65170000	1	65070000	8.616737e-04	3.0646571623859606
SL2.40ch01_65470000_65570000	1	65470000	1.014998e-03	2.993534813504285
SL2.40ch01_65750000_65850000	1	65750000	9.147248e-04	3.0387095461722597
SL2.40ch01_65760000_65860000	1	65760000	7.220757e-04	3.1414172700634495
SL2.40ch01_65770000_65870000	1	65770000	7.363655e-04	3.1329065671406107
SL2.40ch01_65780000_65880000	1	65780000	5.756228e-04	3.2398620123065216
SL2.40ch01_65790000_65890000	1	65790000	6.620832e-04	3.1790874319644202
SL2.40ch01_65800000_65900000	1	65800000	6.375958e-04	3.1954545524068494
SL2.40ch01_65810000_65910000	1	65810000	9.511595e-04	3.021746650085093
SL2.40ch01_65820000_65920000	1	65820000	9.859152e-04	3.006160437752341
SL2.40ch01_66120000_66220000	1	66120000	9.859694e-04	3.006136563372547
SL2.40ch01_66130000_66230000	1	66130000	9.575638e-04	3.01883228047697
SL2.40ch01_66140000_66240000	1	66140000	4.770326e-04	3.321451940632158
SL2.40ch01_66150000_66250000	1	66150000	4.956274e-04	3.304844692328519
SL2.40ch01_66340000_66440000	1	66340000	3.803898e-04	3.419771137010929
SL2.40ch01_66350000_66450000	1	66350000	3.667696e-04	3.4356066683656667
SL2.40ch01_66360000_66460000	1	66360000	6.147689e-04	3.2112881107559246
SL2.40ch01_66370000_66470000	1	66370000	9.538689e-04	3.020511310745641
SL2.40ch01_66380000_66480000	1	66380000	8.131359e-04	3.0898368643841163
SL2.40ch01_66390000_66490000	1	66390000	8.212395e-04	3.085530170091172
SL2.40ch01_66400000_66500000	1	66400000	7.348858e-04	3.133780144294355
SL2.40ch01_66410000_66510000	1	66410000	6.885608e-04	3.1620577054598122
SL2.40ch01_66420000_66520000	1	66420000	7.627356e-04	3.1176259828328163
SL2.40ch01_66430000_66530000	1	66430000	7.679102e-04	3.114689563724621
SL2.40ch01_66440000_66540000	1	66440000	7.691150e-04	3.1140087185452963
SL2.40ch01_66450000_66550000	1	66450000	8.630015e-04	3.063988449428294
SL2.40ch01_66460000_66560000	1	66460000	6.173460e-04	3.2094713614552774
SL2.40ch01_66470000_66570000	1	66470000	5.537139e-04	3.2567145741627503
SL2.40ch01_66480000_66580000	1	66480000	6.550216e-04	3.1837443784721295
SL2.40ch01_66490000_66590000	1	66490000	6.089595e-04	3.2154115899802553
SL2.40ch01_66500000_66600000	1	66500000	5.592060e-04	3.2524281774753363
SL2.40ch01_66510000_66610000	1	66510000	1.033997e-03	2.9854807212859216
SL2.40ch01_66570000_66670000	1	66570000	8.733344e-04	3.0588194329642326
SL2.40ch01_66580000_66680000	1	66580000	9.801957e-04	3.0086872070165827
SL2.40ch01_66590000_66690000	1	66590000	1.027327e-03	2.9882912976963114
SL2.40ch01_66790000_66890000	1	66790000	4.172894e-04	3.3795626471118645
SL2.40ch01_66800000_66900000	1	66800000	6.011580e-04	3.2210113690788225
SL2.40ch01_66810000_66910000	1	66810000	5.409067e-04	3.2668776390885186
SL2.40ch01_66820000_66920000	1	66820000	8.999318e-04	3.0457904016783965
SL2.40ch01_70900000_71000000	1	70900000	8.190048e-04	3.0867135529313954
SL2.40ch01_70910000_71010000	1	70910000	9.240302e-04	3.034313834538528
SL2.40ch01_75240000_75340000	1	75240000	9.278397e-04	3.032527049017016
SL2.40ch01_75610000_75710000	1	75610000	7.708873e-04	3.113009109064084
SL2.40ch01_75620000_75720000	1	75620000	7.375021e-04	3.132236738716425
SL2.40ch01_75990000_76090000	1	75990000	5.948011e-04	3.2256282369834923
SL2.40ch01_76000000_76100000	1	76000000	5.804902e-04	3.236205107745991
SL2.40ch01_76010000_76110000	1	76010000	5.544187e-04	3.2561621298214876
SL2.40ch01_76020000_76120000	1	76020000	4.571010e-04	3.3399878286034568
SL2.40ch01_76030000_76130000	1	76030000	1.452479e-04	3.837890137939387
SL2.40ch01_76040000_76140000	1	76040000	1.548037e-04	3.8102186633535164
SL2.40ch01_76050000_76150000	1	76050000	1.679048e-04	3.7749368882352936
SL2.40ch01_76060000_76160000	1	76060000	1.766907e-04	3.7527863086990836
SL2.40ch01_76070000_76170000	1	76070000	2.961887e-04	3.5284315144213556
SL2.40ch01_76080000_76180000	1	76080000	2.445140e-04	3.611696269674593
SL2.40ch01_76090000_76190000	1	76090000	2.759711e-04	3.5591363953539386
SL2.40ch01_76100000_76200000	1	76100000	2.803322e-04	3.552327014693716
SL2.40ch01_76230000_76330000	1	76230000	6.544357e-04	3.184133017573118
SL2.40ch01_76560000_76660000	1	76560000	1.007522e-04	3.996745461936941
SL2.40ch01_76570000_76670000	1	76570000	1.117874e-04	3.9516071447398637
SL2.40ch01_76580000_76680000	1	76580000	1.179835e-04	3.9281787245582893
SL2.40ch01_76590000_76690000	1	76590000	1.195069e-04	3.9226070190219957
SL2.40ch01_76600000_76700000	1	76600000	1.141599e-04	3.9424864203197165
SL2.40ch01_76610000_76710000	1	76610000	1.388127e-04	3.857570798379697
SL2.40ch01_76620000_76720000	1	76620000	1.122531e-04	3.9498016566114655
SL2.40ch01_76630000_76730000	1	76630000	1.301756e-04	3.885470411915465
SL2.40ch01_76640000_76740000	1	76640000	1.387327e-04	3.857821161451933
SL2.40ch01_76650000_76750000	1	76650000	6.382346e-04	3.1950196555142485
SL2.40ch01_76660000_76760000	1	76660000	8.658023e-04	3.0625812648199497
SL2.40ch01_76670000_76770000	1	76670000	7.894817e-04	3.102657932382894
SL2.40ch01_76680000_76780000	1	76680000	7.754538e-04	3.1104440714838395
SL2.40ch01_76690000_76790000	1	76690000	9.917887e-04	3.0035808441751795
SL2.40ch01_77250000_77350000	1	77250000	9.146020e-04	3.038767853263653
SL2.40ch01_77260000_77360000	1	77260000	9.805941e-04	3.008510724127931
SL2.40ch01_80150000_80250000	1	80150000	5.827284e-04	3.234533815507369
SL2.40ch01_80160000_80260000	1	80160000	6.260634e-04	3.203381684559635
SL2.40ch01_80170000_80270000	1	80170000	6.141998e-04	3.211690329310909
SL2.40ch01_80180000_80280000	1	80180000	5.818481e-04	3.2351903795119394
SL2.40ch01_80190000_80290000	1	80190000	5.600009e-04	3.251811275021086
SL2.40ch01_80200000_80300000	1	80200000	6.220282e-04	3.206189925877074
SL2.40ch01_80210000_80310000	1	80210000	5.707974e-04	3.2435180137778263
SL2.40ch01_80830000_80930000	1	80830000	1.005917e-03	2.9974378522115876
SL2.40ch01_80840000_80940000	1	80840000	5.549734e-04	3.255727832210774
SL2.40ch01_80850000_80950000	1	80850000	8.310255e-04	3.080385649694377
SL2.40ch01_80860000_80960000	1	80860000	8.516475e-04	3.069740124109482
SL2.40ch01_81150000_81250000	1	81150000	6.312117e-04	3.199824959737886
SL2.40ch01_81160000_81260000	1	81160000	6.671629e-04	3.175768112210339
SL2.40ch01_81170000_81270000	1	81170000	5.698116e-04	3.244268713810633
SL2.40ch01_81180000_81280000	1	81180000	6.476722e-04	3.1886447437454057
SL2.40ch01_81190000_81290000	1	81190000	7.687723e-04	3.114202273328422
SL2.40ch01_81200000_81300000	1	81200000	4.850517e-04	3.314211968968713
SL2.40ch01_81210000_81310000	1	81210000	4.237025e-04	3.3729389734948763
SL2.40ch01_81220000_81320000	1	81220000	4.466518e-04	3.3500309114714546
SL2.40ch01_81230000_81330000	1	81230000	4.420595e-04	3.354519271866828
SL2.40ch01_81240000_81340000	1	81240000	4.373181e-04	3.3592025474265865
