SNP	CHR	BP	P
SL2.40ch01_1060000_1160000	1	1060000	6.982737e-01
SL2.40ch01_1070000_1170000	1	1070000	7.202229e-01
SL2.40ch01_1080000_1180000	1	1080000	6.762574e-01
SL2.40ch01_1090000_1190000	1	1090000	6.194414e-01
SL2.40ch01_1100000_1200000	1	1100000	4.926801e-01
SL2.40ch01_1110000_1210000	1	1110000	4.451999e-01
SL2.40ch01_1120000_1220000	1	1120000	4.476775e-01
SL2.40ch01_1130000_1230000	1	1130000	3.936016e-01
SL2.40ch01_1140000_1240000	1	1140000	4.333342e-01
SL2.40ch01_1150000_1250000	1	1150000	4.143093e-01
SL2.40ch01_1160000_1260000	1	1160000	3.799037e-01
SL2.40ch01_1170000_1270000	1	1170000	3.982084e-01
SL2.40ch01_1180000_1280000	1	1180000	3.907067e-01
SL2.40ch01_1190000_1290000	1	1190000	3.943609e-01
SL2.40ch01_1200000_1300000	1	1200000	4.006321e-01
SL2.40ch01_1210000_1310000	1	1210000	4.214579e-01
SL2.40ch01_1220000_1320000	1	1220000	4.189962e-01
SL2.40ch01_1230000_1330000	1	1230000	4.226051e-01
SL2.40ch01_1240000_1340000	1	1240000	3.945881e-01
SL2.40ch01_1250000_1350000	1	1250000	4.009177e-01
SL2.40ch01_1260000_1360000	1	1260000	4.365972e-01
SL2.40ch01_1270000_1370000	1	1270000	4.253935e-01
SL2.40ch01_1280000_1380000	1	1280000	4.601879e-01
SL2.40ch01_1290000_1390000	1	1290000	4.566197e-01
SL2.40ch01_1300000_1400000	1	1300000	4.481518e-01
SL2.40ch01_1310000_1410000	1	1310000	4.372608e-01
SL2.40ch01_1320000_1420000	1	1320000	4.476033e-01
SL2.40ch01_1330000_1430000	1	1330000	4.434091e-01
SL2.40ch01_1340000_1440000	1	1340000	4.305752e-01
SL2.40ch01_1350000_1450000	1	1350000	4.250824e-01
SL2.40ch01_1360000_1460000	1	1360000	4.120418e-01
SL2.40ch01_1370000_1470000	1	1370000	3.828527e-01
SL2.40ch01_1380000_1480000	1	1380000	3.417694e-01
SL2.40ch01_1390000_1490000	1	1390000	3.451554e-01
SL2.40ch01_1400000_1500000	1	1400000	3.343889e-01
SL2.40ch01_1410000_1510000	1	1410000	3.479638e-01
SL2.40ch01_1420000_1520000	1	1420000	3.556757e-01
SL2.40ch01_1430000_1530000	1	1430000	3.390496e-01
SL2.40ch01_1440000_1540000	1	1440000	3.515109e-01
SL2.40ch01_1450000_1550000	1	1450000	3.586539e-01
SL2.40ch01_1460000_1560000	1	1460000	3.479879e-01
SL2.40ch01_1470000_1570000	1	1470000	3.753140e-01
SL2.40ch01_1480000_1580000	1	1480000	3.773006e-01
SL2.40ch01_1490000_1590000	1	1490000	3.796927e-01
SL2.40ch01_1500000_1600000	1	1500000	3.814523e-01
SL2.40ch01_1510000_1610000	1	1510000	3.790443e-01
SL2.40ch01_1520000_1620000	1	1520000	3.482040e-01
SL2.40ch01_1530000_1630000	1	1530000	4.102567e-01
SL2.40ch01_1540000_1640000	1	1540000	4.085575e-01
SL2.40ch01_1550000_1650000	1	1550000	3.802417e-01
SL2.40ch01_1560000_1660000	1	1560000	4.175963e-01
SL2.40ch01_1570000_1670000	1	1570000	4.154532e-01
SL2.40ch01_1580000_1680000	1	1580000	4.367542e-01
SL2.40ch01_1590000_1690000	1	1590000	4.350927e-01
SL2.40ch01_1600000_1700000	1	1600000	4.304031e-01
SL2.40ch01_1610000_1710000	1	1610000	3.812991e-01
SL2.40ch01_1620000_1720000	1	1620000	3.859663e-01
SL2.40ch01_1630000_1730000	1	1630000	3.378910e-01
SL2.40ch01_1640000_1740000	1	1640000	3.492867e-01
SL2.40ch01_1650000_1750000	1	1650000	3.731741e-01
SL2.40ch01_1660000_1760000	1	1660000	3.792598e-01
SL2.40ch01_1670000_1770000	1	1670000	4.191974e-01
SL2.40ch01_1680000_1780000	1	1680000	4.328060e-01
SL2.40ch01_1690000_1790000	1	1690000	4.333733e-01
SL2.40ch01_1700000_1800000	1	1700000	4.466635e-01
SL2.40ch01_1710000_1810000	1	1710000	4.743588e-01
SL2.40ch01_1720000_1820000	1	1720000	4.721697e-01
SL2.40ch01_1730000_1830000	1	1730000	4.830038e-01
SL2.40ch01_1740000_1840000	1	1740000	4.958903e-01
SL2.40ch01_1750000_1850000	1	1750000	4.964397e-01
SL2.40ch01_1760000_1860000	1	1760000	4.870956e-01
SL2.40ch01_1770000_1870000	1	1770000	4.042064e-01
SL2.40ch01_1780000_1880000	1	1780000	3.525245e-01
SL2.40ch01_1790000_1890000	1	1790000	3.625444e-01
SL2.40ch01_1800000_1900000	1	1800000	3.499789e-01
SL2.40ch01_1810000_1910000	1	1810000	4.000437e-01
SL2.40ch01_1820000_1920000	1	1820000	3.312481e-01
SL2.40ch01_1830000_1930000	1	1830000	3.629095e-01
SL2.40ch01_1840000_1940000	1	1840000	4.841008e-01
SL2.40ch01_1850000_1950000	1	1850000	5.123055e-01
SL2.40ch01_1860000_1960000	1	1860000	5.222212e-01
SL2.40ch01_1870000_1970000	1	1870000	5.348074e-01
SL2.40ch01_1880000_1980000	1	1880000	5.315858e-01
SL2.40ch01_1890000_1990000	1	1890000	5.283895e-01
SL2.40ch01_1900000_2000000	1	1900000	5.102985e-01
SL2.40ch01_1910000_2010000	1	1910000	5.148091e-01
SL2.40ch01_1920000_2020000	1	1920000	5.747523e-01
SL2.40ch01_1930000_2030000	1	1930000	5.989079e-01
SL2.40ch01_1940000_2040000	1	1940000	5.665958e-01
SL2.40ch01_1950000_2050000	1	1950000	5.496072e-01
SL2.40ch01_1960000_2060000	1	1960000	5.330512e-01
SL2.40ch01_1970000_2070000	1	1970000	5.342909e-01
SL2.40ch01_1980000_2080000	1	1980000	5.445151e-01
SL2.40ch01_1990000_2090000	1	1990000	5.240030e-01
SL2.40ch01_2000000_2100000	1	2000000	5.516274e-01
SL2.40ch01_2010000_2110000	1	2010000	5.853361e-01
SL2.40ch01_2020000_2120000	1	2020000	6.092733e-01
SL2.40ch01_2030000_2130000	1	2030000	5.540363e-01
SL2.40ch01_2040000_2140000	1	2040000	5.640717e-01
SL2.40ch01_2050000_2150000	1	2050000	5.689514e-01
SL2.40ch01_2060000_2160000	1	2060000	5.758317e-01
SL2.40ch01_2070000_2170000	1	2070000	5.376107e-01
SL2.40ch01_2080000_2180000	1	2080000	5.320841e-01
SL2.40ch01_2090000_2190000	1	2090000	5.469911e-01
SL2.40ch01_2100000_2200000	1	2100000	5.378895e-01
SL2.40ch01_2110000_2210000	1	2110000	5.143353e-01
SL2.40ch01_2120000_2220000	1	2120000	4.575992e-01
SL2.40ch01_2130000_2230000	1	2130000	4.630606e-01
SL2.40ch01_2140000_2240000	1	2140000	4.478701e-01
SL2.40ch01_2150000_2250000	1	2150000	4.441569e-01
SL2.40ch01_2160000_2260000	1	2160000	4.301342e-01
SL2.40ch01_2170000_2270000	1	2170000	4.314395e-01
SL2.40ch01_2180000_2280000	1	2180000	4.183065e-01
SL2.40ch01_2190000_2290000	1	2190000	4.004115e-01
SL2.40ch01_2200000_2300000	1	2200000	3.949745e-01
SL2.40ch01_2210000_2310000	1	2210000	3.684169e-01
SL2.40ch01_2220000_2320000	1	2220000	3.237305e-01
SL2.40ch01_2230000_2330000	1	2230000	3.068435e-01
SL2.40ch01_2240000_2340000	1	2240000	2.953197e-01
SL2.40ch01_2250000_2350000	1	2250000	2.770854e-01
SL2.40ch01_2260000_2360000	1	2260000	2.699754e-01
SL2.40ch01_2270000_2370000	1	2270000	2.606117e-01
SL2.40ch01_2280000_2380000	1	2280000	2.696481e-01
SL2.40ch01_2290000_2390000	1	2290000	2.956628e-01
SL2.40ch01_2300000_2400000	1	2300000	3.038430e-01
SL2.40ch01_2310000_2410000	1	2310000	3.568555e-01
SL2.40ch01_2320000_2420000	1	2320000	3.831229e-01
SL2.40ch01_2330000_2430000	1	2330000	3.937339e-01
SL2.40ch01_2340000_2440000	1	2340000	3.772378e-01
SL2.40ch01_2350000_2450000	1	2350000	3.897611e-01
SL2.40ch01_2360000_2460000	1	2360000	4.017109e-01
SL2.40ch01_2370000_2470000	1	2370000	3.923589e-01
SL2.40ch01_2380000_2480000	1	2380000	4.332763e-01
SL2.40ch01_2390000_2490000	1	2390000	5.096995e-01
SL2.40ch01_2400000_2500000	1	2400000	5.123915e-01
SL2.40ch01_2410000_2510000	1	2410000	4.630402e-01
SL2.40ch01_2420000_2520000	1	2420000	4.874395e-01
SL2.40ch01_2430000_2530000	1	2430000	5.103537e-01
SL2.40ch01_2440000_2540000	1	2440000	5.258926e-01
SL2.40ch01_2450000_2550000	1	2450000	5.253873e-01
SL2.40ch01_2460000_2560000	1	2460000	5.217879e-01
SL2.40ch01_2470000_2570000	1	2470000	5.586657e-01
SL2.40ch01_2480000_2580000	1	2480000	5.432282e-01
SL2.40ch01_2490000_2590000	1	2490000	4.198626e-01
SL2.40ch01_2500000_2600000	1	2500000	3.840874e-01
SL2.40ch01_2510000_2610000	1	2510000	4.109843e-01
SL2.40ch01_2520000_2620000	1	2520000	3.971973e-01
SL2.40ch01_2530000_2630000	1	2530000	3.643300e-01
SL2.40ch01_2540000_2640000	1	2540000	3.626811e-01
SL2.40ch01_2550000_2650000	1	2550000	3.599976e-01
SL2.40ch01_2560000_2660000	1	2560000	3.716258e-01
SL2.40ch01_2570000_2670000	1	2570000	3.537882e-01
SL2.40ch01_2580000_2680000	1	2580000	3.382099e-01
SL2.40ch01_2590000_2690000	1	2590000	3.418788e-01
SL2.40ch01_2600000_2700000	1	2600000	3.481654e-01
SL2.40ch01_2610000_2710000	1	2610000	3.288173e-01
SL2.40ch01_2620000_2720000	1	2620000	3.806208e-01
SL2.40ch01_2630000_2730000	1	2630000	4.622613e-01
SL2.40ch01_2640000_2740000	1	2640000	4.977449e-01
SL2.40ch01_2650000_2750000	1	2650000	5.618406e-01
SL2.40ch01_2660000_2760000	1	2660000	5.765942e-01
SL2.40ch01_2670000_2770000	1	2670000	5.852426e-01
SL2.40ch01_2680000_2780000	1	2680000	5.930901e-01
SL2.40ch01_2690000_2790000	1	2690000	5.756683e-01
SL2.40ch01_2700000_2800000	1	2700000	5.650418e-01
SL2.40ch01_2710000_2810000	1	2710000	5.624242e-01
SL2.40ch01_2720000_2820000	1	2720000	5.265240e-01
SL2.40ch01_2730000_2830000	1	2730000	4.833040e-01
SL2.40ch01_2740000_2840000	1	2740000	4.680825e-01
SL2.40ch01_2750000_2850000	1	2750000	4.379304e-01
SL2.40ch01_2760000_2860000	1	2760000	4.285815e-01
SL2.40ch01_2770000_2870000	1	2770000	4.222568e-01
SL2.40ch01_2780000_2880000	1	2780000	4.338334e-01
SL2.40ch01_2790000_2890000	1	2790000	4.271196e-01
SL2.40ch01_2800000_2900000	1	2800000	4.312674e-01
SL2.40ch01_2810000_2910000	1	2810000	4.325147e-01
SL2.40ch01_2820000_2920000	1	2820000	4.542003e-01
SL2.40ch01_2830000_2930000	1	2830000	4.423175e-01
SL2.40ch01_2840000_2940000	1	2840000	4.393649e-01
SL2.40ch01_2850000_2950000	1	2850000	4.109222e-01
SL2.40ch01_2860000_2960000	1	2860000	3.896041e-01
SL2.40ch01_2870000_2970000	1	2870000	3.681463e-01
SL2.40ch01_2880000_2980000	1	2880000	3.356096e-01
SL2.40ch01_2890000_2990000	1	2890000	3.901209e-01
SL2.40ch01_2900000_3000000	1	2900000	3.780854e-01
SL2.40ch01_2910000_3010000	1	2910000	3.820326e-01
SL2.40ch01_2920000_3020000	1	2920000	4.347699e-01
SL2.40ch01_2930000_3030000	1	2930000	4.769035e-01
SL2.40ch01_2940000_3040000	1	2940000	5.299995e-01
SL2.40ch01_2950000_3050000	1	2950000	5.691552e-01
SL2.40ch01_2960000_3060000	1	2960000	5.750437e-01
SL2.40ch01_2970000_3070000	1	2970000	5.853726e-01
SL2.40ch01_2980000_3080000	1	2980000	5.862267e-01
SL2.40ch01_2990000_3090000	1	2990000	5.803560e-01
SL2.40ch01_3000000_3100000	1	3000000	6.037092e-01
SL2.40ch01_3010000_3110000	1	3010000	6.135696e-01
SL2.40ch01_3020000_3120000	1	3020000	5.619908e-01
SL2.40ch01_3030000_3130000	1	3030000	5.063024e-01
SL2.40ch01_3040000_3140000	1	3040000	4.125194e-01
SL2.40ch01_3050000_3150000	1	3050000	3.611610e-01
SL2.40ch01_3060000_3160000	1	3060000	3.709294e-01
SL2.40ch01_3070000_3170000	1	3070000	3.651892e-01
SL2.40ch01_3080000_3180000	1	3080000	3.783330e-01
SL2.40ch01_3090000_3190000	1	3090000	3.749480e-01
SL2.40ch01_3100000_3200000	1	3100000	3.523140e-01
SL2.40ch01_3110000_3210000	1	3110000	3.635372e-01
SL2.40ch01_3120000_3220000	1	3120000	3.325644e-01
SL2.40ch01_3130000_3230000	1	3130000	3.508092e-01
SL2.40ch01_3140000_3240000	1	3140000	3.345998e-01
SL2.40ch01_3150000_3250000	1	3150000	3.565947e-01
SL2.40ch01_3160000_3260000	1	3160000	3.448589e-01
SL2.40ch01_3170000_3270000	1	3170000	3.564231e-01
SL2.40ch01_3180000_3280000	1	3180000	3.361217e-01
SL2.40ch01_3190000_3290000	1	3190000	3.349352e-01
SL2.40ch01_3200000_3300000	1	3200000	3.387244e-01
SL2.40ch01_3210000_3310000	1	3210000	3.509022e-01
SL2.40ch01_3220000_3320000	1	3220000	3.513971e-01
SL2.40ch01_3230000_3330000	1	3230000	3.751837e-01
SL2.40ch01_3240000_3340000	1	3240000	4.245373e-01
SL2.40ch01_3250000_3350000	1	3250000	4.098557e-01
SL2.40ch01_3260000_3360000	1	3260000	4.335933e-01
SL2.40ch01_3270000_3370000	1	3270000	4.288632e-01
SL2.40ch01_3280000_3380000	1	3280000	4.657422e-01
SL2.40ch01_3290000_3390000	1	3290000	4.833720e-01
SL2.40ch01_3300000_3400000	1	3300000	4.966619e-01
SL2.40ch01_3310000_3410000	1	3310000	5.020312e-01
SL2.40ch01_3320000_3420000	1	3320000	5.231685e-01
SL2.40ch01_3330000_3430000	1	3330000	5.191671e-01
SL2.40ch01_3340000_3440000	1	3340000	5.131949e-01
SL2.40ch01_3350000_3450000	1	3350000	5.622148e-01
SL2.40ch01_3360000_3460000	1	3360000	4.490588e-01
SL2.40ch01_3370000_3470000	1	3370000	5.083905e-01
SL2.40ch01_3380000_3480000	1	3380000	5.320573e-01
SL2.40ch01_3390000_3490000	1	3390000	5.173950e-01
SL2.40ch01_3400000_3500000	1	3400000	4.667147e-01
SL2.40ch01_3410000_3510000	1	3410000	4.558999e-01
SL2.40ch01_3420000_3520000	1	3420000	4.489442e-01
SL2.40ch01_3430000_3530000	1	3430000	4.516684e-01
SL2.40ch01_3440000_3540000	1	3440000	4.395438e-01
SL2.40ch01_3450000_3550000	1	3450000	4.295349e-01
SL2.40ch01_3460000_3560000	1	3460000	4.477317e-01
SL2.40ch01_3470000_3570000	1	3470000	4.045776e-01
SL2.40ch01_3480000_3580000	1	3480000	3.513073e-01
SL2.40ch01_3490000_3590000	1	3490000	3.453624e-01
SL2.40ch01_3500000_3600000	1	3500000	3.212974e-01
SL2.40ch01_3510000_3610000	1	3510000	3.225676e-01
SL2.40ch01_3520000_3620000	1	3520000	3.517447e-01
SL2.40ch01_3530000_3630000	1	3530000	3.519747e-01
SL2.40ch01_3540000_3640000	1	3540000	3.644357e-01
SL2.40ch01_3550000_3650000	1	3550000	3.607664e-01
SL2.40ch01_3560000_3660000	1	3560000	3.319782e-01
SL2.40ch01_3570000_3670000	1	3570000	3.361969e-01
SL2.40ch01_3580000_3680000	1	3580000	3.484224e-01
SL2.40ch01_3590000_3690000	1	3590000	3.439084e-01
SL2.40ch01_3600000_3700000	1	3600000	3.446127e-01
SL2.40ch01_3610000_3710000	1	3610000	3.583964e-01
SL2.40ch01_3620000_3720000	1	3620000	3.316556e-01
SL2.40ch01_3630000_3730000	1	3630000	3.257965e-01
SL2.40ch01_3640000_3740000	1	3640000	3.222836e-01
SL2.40ch01_3650000_3750000	1	3650000	3.263996e-01
SL2.40ch01_3660000_3760000	1	3660000	3.897262e-01
SL2.40ch01_3670000_3770000	1	3670000	4.465503e-01
SL2.40ch01_3680000_3780000	1	3680000	4.600938e-01
SL2.40ch01_3690000_3790000	1	3690000	4.570213e-01
SL2.40ch01_3700000_3800000	1	3700000	4.808174e-01
SL2.40ch01_3710000_3810000	1	3710000	4.809405e-01
SL2.40ch01_3720000_3820000	1	3720000	4.843531e-01
SL2.40ch01_3730000_3830000	1	3730000	4.787621e-01
SL2.40ch01_3740000_3840000	1	3740000	4.664275e-01
SL2.40ch01_3750000_3850000	1	3750000	4.494641e-01
SL2.40ch01_3760000_3860000	1	3760000	4.278966e-01
SL2.40ch01_3770000_3870000	1	3770000	3.674075e-01
SL2.40ch01_3780000_3880000	1	3780000	3.132219e-01
SL2.40ch01_3790000_3890000	1	3790000	3.119897e-01
SL2.40ch01_3800000_3900000	1	3800000	3.289481e-01
SL2.40ch01_3810000_3910000	1	3810000	3.357763e-01
SL2.40ch01_3820000_3920000	1	3820000	3.392153e-01
SL2.40ch01_3830000_3930000	1	3830000	3.313668e-01
SL2.40ch01_3840000_3940000	1	3840000	3.348522e-01
SL2.40ch01_3850000_3950000	1	3850000	3.504138e-01
SL2.40ch01_3860000_3960000	1	3860000	3.577973e-01
SL2.40ch01_3870000_3970000	1	3870000	3.552822e-01
SL2.40ch01_3880000_3980000	1	3880000	3.604499e-01
SL2.40ch01_3890000_3990000	1	3890000	3.542616e-01
SL2.40ch01_3900000_4000000	1	3900000	3.445904e-01
SL2.40ch01_3910000_4010000	1	3910000	3.508768e-01
SL2.40ch01_3920000_4020000	1	3920000	3.370898e-01
SL2.40ch01_3930000_4030000	1	3930000	3.518210e-01
SL2.40ch01_3940000_4040000	1	3940000	3.418314e-01
SL2.40ch01_3950000_4050000	1	3950000	3.400431e-01
SL2.40ch01_3960000_4060000	1	3960000	3.292850e-01
SL2.40ch01_3970000_4070000	1	3970000	3.512993e-01
SL2.40ch01_3980000_4080000	1	3980000	3.415123e-01
SL2.40ch01_3990000_4090000	1	3990000	3.387603e-01
SL2.40ch01_4000000_4100000	1	4000000	3.801970e-01
SL2.40ch01_4010000_4110000	1	4010000	3.785679e-01
SL2.40ch01_4020000_4120000	1	4020000	3.965986e-01
SL2.40ch01_4030000_4130000	1	4030000	3.927793e-01
SL2.40ch01_4040000_4140000	1	4040000	3.955870e-01
SL2.40ch01_4050000_4150000	1	4050000	3.994177e-01
SL2.40ch01_4060000_4160000	1	4060000	4.162052e-01
SL2.40ch01_4070000_4170000	1	4070000	5.014734e-01
SL2.40ch01_4080000_4180000	1	4080000	5.546304e-01
SL2.40ch01_4090000_4190000	1	4090000	5.586837e-01
SL2.40ch01_4100000_4200000	1	4100000	5.319740e-01
SL2.40ch01_4110000_4210000	1	4110000	5.291080e-01
SL2.40ch01_4120000_4220000	1	4120000	5.507453e-01
SL2.40ch01_4130000_4230000	1	4130000	5.485971e-01
SL2.40ch01_4140000_4240000	1	4140000	5.578019e-01
SL2.40ch01_4150000_4250000	1	4150000	5.444833e-01
SL2.40ch01_4160000_4260000	1	4160000	5.477330e-01
SL2.40ch01_4170000_4270000	1	4170000	4.782606e-01
SL2.40ch01_4180000_4280000	1	4180000	3.966200e-01
SL2.40ch01_4190000_4290000	1	4190000	4.062259e-01
SL2.40ch01_4200000_4300000	1	4200000	3.994281e-01
SL2.40ch01_4210000_4310000	1	4210000	4.149635e-01
SL2.40ch01_4220000_4320000	1	4220000	4.095339e-01
SL2.40ch01_4230000_4330000	1	4230000	4.122913e-01
SL2.40ch01_4240000_4340000	1	4240000	3.821489e-01
SL2.40ch01_4250000_4350000	1	4250000	3.895914e-01
SL2.40ch01_4260000_4360000	1	4260000	4.349733e-01
SL2.40ch01_4270000_4370000	1	4270000	4.294150e-01
SL2.40ch01_4280000_4380000	1	4280000	4.542915e-01
SL2.40ch01_4290000_4390000	1	4290000	4.648579e-01
SL2.40ch01_4300000_4400000	1	4300000	4.648579e-01
SL2.40ch01_4310000_4410000	1	4310000	4.704977e-01
SL2.40ch01_4320000_4420000	1	4320000	4.507330e-01
SL2.40ch01_4330000_4430000	1	4330000	4.572848e-01
SL2.40ch01_4340000_4440000	1	4340000	4.907784e-01
SL2.40ch01_4350000_4450000	1	4350000	5.067523e-01
SL2.40ch01_4360000_4460000	1	4360000	4.127564e-01
SL2.40ch01_4370000_4470000	1	4370000	4.132696e-01
SL2.40ch01_4380000_4480000	1	4380000	3.853231e-01
SL2.40ch01_4390000_4490000	1	4390000	3.869009e-01
SL2.40ch01_4400000_4500000	1	4400000	3.733435e-01
SL2.40ch01_4410000_4510000	1	4410000	3.357711e-01
SL2.40ch01_4420000_4520000	1	4420000	3.432345e-01
SL2.40ch01_4430000_4530000	1	4430000	3.500758e-01
SL2.40ch01_4440000_4540000	1	4440000	3.546111e-01
SL2.40ch01_4450000_4550000	1	4450000	3.596201e-01
SL2.40ch01_4460000_4560000	1	4460000	4.041112e-01
SL2.40ch01_4470000_4570000	1	4470000	4.104677e-01
SL2.40ch01_4480000_4580000	1	4480000	4.156042e-01
SL2.40ch01_4490000_4590000	1	4490000	3.881444e-01
SL2.40ch01_4500000_4600000	1	4500000	4.059688e-01
SL2.40ch01_4510000_4610000	1	4510000	4.310044e-01
SL2.40ch01_4520000_4620000	1	4520000	4.224198e-01
SL2.40ch01_4530000_4630000	1	4530000	4.257822e-01
SL2.40ch01_4540000_4640000	1	4540000	4.352297e-01
SL2.40ch01_4550000_4650000	1	4550000	4.406212e-01
SL2.40ch01_4560000_4660000	1	4560000	4.458137e-01
SL2.40ch01_4570000_4670000	1	4570000	4.341168e-01
SL2.40ch01_4580000_4680000	1	4580000	4.349984e-01
SL2.40ch01_4590000_4690000	1	4590000	5.162079e-01
